매물종류,소재지(1),소재지(2),소재지(3),"면적(연, 토지)",가격,층수(방 수),"진입, 인접도로",이삿날(주차),조회수,제목,장점,url
숙주나물 공장&냉장창고 ,경상북도,경주시,내남면,"  연  : 565.29㎡
토지 : 1626.45㎡","매:80,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,32,"경주시 내남면 공장 매매 & 공장건물 급매매, 공장부지 급매물, 냉장창고 매도, 기숙사,텃밭있음. 활천IC, 경주IC, KTX 경주역 가까움",전력_전력수급이 원할합니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436319&search_mode=mamul_list
물류창고 ,경기도,오산시,원동,"  연  : 227.15㎡
토지 : 308㎡","보:5,000만
월:300만","총4층 / 2층
방수 0개",2m 도로,주차 가능,89,"오산시 원동 창고임대 & 물류창고임대 & 보관창고월세. 경부고속도로 오산IC 차로4~5분 매우가까움. LG디지털파크산업단지,진위산업단지 인근",도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436582&search_mode=mamul_list
물류창고 ,경기도,안성시,일죽면,"  연  : 1024.8㎡
토지 : 4132.25㎡","보:5,000만
월:450만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,45,"안성시 일죽면 창고 임대 & 물류창고 월세. 본창고1동&가설창고3동(일부사용 협의가능). 야적장 사용가능. 일죽IC, 안성월정일반산업단지 가까움",도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436473&search_mode=mamul_list
창고공장(제2종근생) ,제주특별자치도,제주특별자치도시,조천읍,"  연  : 497.83㎡
토지 : 1362㎡","매:70,000만","총1층 / 건물전체층
방수 0개",5m 도로,주차 가능,51,"제주특별자치도도 제주특별자치도시 조천읍 다용도 창고매매 & 공장 급매매, 공장창고 급매물, 제2종근생. 현 알루미늄 창호 공장. 2차선아스팔트접. 조천읍내 차5분",도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=431669&search_mode=mamul_list
보관창고 ,인천광역시,남동구,장수동,"  연  : 330.58㎡
토지 : 396.7㎡","보:1,000만
월:100만","총1층 / 1층
방수 0개",편도 5차선,주차 가능,173,"인천 남동구 장수동 창고 임대 & 보관창고 월세. 5톤차 창고안 진입가능. 인천대공원역 역세권. 버스정류장 도보2분. 장수IC, 서창JC 인근",도로망_분기점(JC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=427745&search_mode=mamul_list
"백학산업단지 공장(기계설비,화학,주물업종등) ",경기도,연천군,백학면,"  연  : 627㎡
토지 : 3300㎡","매:140,000만","총1층 / 1층
방수 0개",편도 2차선,주차 불가,166,"연천군 백학면 공장 매매 & 창고 급매매, 공장창고 급매물, 백학산업단지 내 기계설비 공장, 화학, 주물 업종가능. 약1,000평. 4차선도로접","폐수,하수처리시설_하수종말처리장이 가깝습니다.",https://www.bd119.com/realty/realty_detail.asp?regnumber=436334&search_mode=mamul_list
대륭테크노타운6차 ,서울특별시,금천구,가산동,"  연  : 264.46㎡
토지 : 107.78㎡","보:2,700만
월:270만","총14층 / 9층
방수 0개",편도 1차선,주차 가능,50,"서울 금천구 가산동 아파트형 공장 임대 & 지식산업센터 월세. 가산디지털국가산업단지내, 전철 1호선,7호선 가산디지털단지역, 룸3개,시스템에어컨",도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436234&search_mode=mamul_list
식품공장/냉장저온창고 ,전라북도,임실군,관촌면,"  연  : 958.68㎡
토지 : 2970㎡","보:7,000만
월:350만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,64,"임실군 관촌면 식품공장 임대 & 저온 냉장창고 월세. 제조장 170평, 저온창고 70평, 소분 및 사무동 50평. 면소재지, 상관IC 가까움",도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436180&search_mode=mamul_list
서산테크노밸리산업단지 공장&창고 ,충청남도,서산시,성연면,"  연  : 1385.03㎡
토지 : 5289㎡","매:240,000만","총1층 / 2층
방수 0개",편도 2차선,주차 가능,197,"서산시 성연면 공장 매매 & 창고 급매매. 테크노벨리산업단지내 대지 1600평,공장동 225평,크레인5톤,30KW,창고동 133평,사무동 60평",기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=431627&search_mode=mamul_list
신도일반산업단지 사출금형공장 ,전라남도,나주시,산포면,"  연  : 3116.6㎡
토지 : 3874.6㎡","매:360,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,167,"나주시 산포면 공장 매매 & 창고 급매매, 신도일반산업단지 내, 금형 및 사출성형 공장 급매물. 공장동&사무동, 호이스트6대, 혁신도시 인근",기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=436147&search_mode=mamul_list
