공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,6,0,0,4,4,0,0,8,1,37,8,148,148,0,148,29,278,8818,0,14,101
0,4,6,0,2,0,0,0,0,0,1,43,8,0,52,0,52,29,354,8816,0,14,101
0,4,3,1,2,2,2,0,0,4,1,43,8,173,110,129,240,29,115,8814,0,14,101
0,4,6,0,2,6,2,0,0,8,1,37,8,309,138,170,309,29,374,8817,0,14,101
0,4,3,1,0,1,1,0,0,2,1,34,8,21,21,0,21,29,418,8815,0,14,101
0,4,9,1,0,5,0,0,0,5,1,40,8,0,136,0,136,29,121,8804,0,14,34
0,4,6,0,0,7,1,0,0,8,1,43,8,198,140,103,243,29,121,8808,0,14,34
0,4,9,0,2,4,3,0,0,7,1,37,8,105,55,50,105,29,119,8807,0,14,34
0,4,9,1,2,2,2,0,0,4,1,38,8,0,46,20,66,29,118,8805,0,14,34
0,4,6,0,2,4,2,0,0,6,1,38,8,0,30,25,56,29,118,8806,0,14,34
0,4,9,1,2,5,5,0,0,10,1,43,8,332,245,0,245,29,121,8803,0,14,34
0,4,9,1,2,2,1,0,0,3,1,37,8,158,123,134,257,29,115,8806,0,14,34
0,4,6,0,2,3,1,0,0,4,1,40,8,163,147,16,163,29,118,8812,0,14,54
0,4,2,0,2,0,0,0,0,0,1,37,8,115,115,0,115,29,120,8813,0,14,54
0,4,6,0,0,2,3,0,0,5,1,40,8,165,130,35,165,29,118,8810,0,14,54
0,4,3,1,2,5,2,0,0,7,1,38,8,0,160,23,183,29,121,8809,0,14,54
0,4,9,1,0,11,4,0,0,15,1,37,8,149,100,28,128,29,118,8811,0,14,54
0,4,2,0,2,6,2,0,0,8,1,68,8,634,323,35,358,29,418,8043,0,10,39
0,4,9,1,2,3,1,0,0,4,1,67,8,165,132,0,132,29,176,8041,0,10,39
0,4,0,1,0,3,2,0,0,5,1,67,8,119,87,0,87,29,121,8042,0,10,39
0,4,9,1,0,3,3,0,0,6,1,37,8,155,132,166,298,29,316,8040,0,10,39
0,4,9,1,2,17,2,0,0,19,1,37,8,331,280,849,1129,29,283,8029,0,10,18
0,4,6,0,0,3,3,0,0,6,1,53,8,97,93,3,97,29,281,8022,0,10,18
0,4,2,0,0,18,2,0,0,20,1,53,8,115,70,45,115,29,318,8018,0,10,18
0,4,9,1,2,7,25,0,0,32,1,18,0,1579,412,399,812,29,7,8039,0,10,18
0,4,9,1,0,54,172,0,0,226,2,18,8,6618,26554,0,26554,29,3,8036,0,10,18
0,4,2,0,0,5,1,0,0,6,1,18,8,105,105,105,210,29,343,8039,0,10,18
0,4,9,1,0,21,5,0,0,26,1,18,8,6285,18225,0,18225,29,6,8023,0,10,18
0,4,2,0,3,24,3,0,0,27,1,18,8,5682,17174,264,17438,29,6,8033,0,10,18
0,4,2,0,3,3,8,0,0,11,1,18,8,0,726,66,792,29,6,8025,0,10,18
0,4,2,0,0,9,2,0,0,11,1,18,8,100,100,100,200,29,99,8039,0,10,18
0,4,6,0,2,1,1,0,0,2,1,18,0,247,117,130,247,29,343,8039,0,10,18
0,4,9,1,0,8,17,0,0,25,1,67,8,1425,7200,0,7200,29,419,8021,0,10,18
0,4,9,1,0,2,9,0,0,11,1,67,8,760,337,0,337,29,51,8019,0,10,18
0,4,3,1,0,4,0,0,0,4,1,68,8,1078,414,320,734,29,313,8031,0,10,18
0,4,9,1,0,13,2,0,0,15,1,18,8,1653,1392,6014,7406,29,6,8038,0,10,18
0,4,2,0,2,2,14,0,0,16,1,18,8,444,409,34,444,29,7,8026,0,10,18
0,4,9,1,0,12,2,0,0,14,1,18,8,4599,3733,17005,20738,29,3,8028,0,10,18
0,4,9,1,0,40,0,0,0,40,1,18,8,4071,6450,336,6786,29,6,8034,0,10,18
0,4,9,1,0,10,14,0,0,24,1,18,8,1429,3163,200,3363,29,6,8035,0,10,18
0,4,0,0,2,3,5,0,0,8,1,53,8,0,43,33,76,29,123,8030,0,10,18
