공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,0,0,3,7,4,0,0,11,1,64,25,0,173,0,173,4,288,4764,0,10,49
0,4,0,0,3,0,2,0,0,2,1,56,25,0,20,0,20,4,337,4763,0,10,49
0,4,6,0,3,0,7,0,0,7,1,56,25,332,108,33,141,4,80,4743,0,10,49
0,4,3,1,1,2,7,0,0,9,1,56,25,173,207,0,207,4,9,4659,0,10,49
0,4,0,1,3,2,3,0,0,5,1,70,25,154,82,72,154,4,119,4711,0,10,49
0,4,9,1,4,1,0,0,0,1,1,69,0,2564,305,136,441,4,90,4745,0,10,49
0,4,6,0,3,1,0,0,0,1,1,56,25,0,104,0,104,4,428,4744,0,10,49
0,4,0,0,3,1,0,0,0,1,1,56,25,0,92,0,92,4,321,4674,0,10,49
0,4,0,1,3,2,1,0,0,3,1,56,25,96,75,0,75,4,327,4673,0,10,49
0,4,0,0,3,4,1,0,0,5,1,64,25,0,89,0,89,4,404,4746,0,10,49
0,4,2,0,1,2,4,0,0,6,1,60,25,309,176,0,176,4,80,4754,0,10,49
0,4,6,0,1,1,0,0,0,1,1,60,25,0,35,0,35,4,431,4759,0,10,49
0,4,9,1,3,1,1,0,0,2,1,60,25,220,113,0,113,4,119,4749,0,10,49
0,4,6,0,3,1,0,0,0,1,1,64,25,0,77,0,77,4,119,4761,0,10,49
0,4,0,0,3,6,1,0,0,7,1,60,25,0,75,0,75,4,119,4748,0,10,49
0,4,0,1,1,3,0,0,0,3,1,28,0,232,138,0,138,4,119,4747,0,10,49
0,4,6,0,1,3,0,0,0,3,1,64,25,164,91,0,91,4,121,4750,0,10,49
0,4,2,0,3,4,3,0,0,7,1,64,25,331,144,121,265,4,448,4751,0,10,49
0,4,2,0,3,3,2,0,0,5,1,60,25,513,133,0,133,4,119,4757,0,10,49
0,4,2,0,1,4,5,0,0,9,1,64,25,781,150,425,575,4,121,4762,0,10,49
0,4,2,0,3,2,1,0,0,3,1,64,25,295,82,44,127,4,119,4752,0,10,49
0,4,0,1,3,2,0,0,0,2,1,64,25,356,203,116,319,4,119,4755,0,10,49
0,4,2,0,3,2,2,0,0,4,1,64,25,168,105,35,140,4,119,4758,0,10,49
0,4,6,0,3,1,0,0,0,1,1,56,0,110,100,10,110,4,123,4760,0,10,49
0,7,0,1,3,3,2,0,0,5,1,64,25,476,279,47,326,4,119,4753,0,10,49
0,4,0,0,3,2,2,0,0,4,1,64,25,0,73,0,73,4,119,4756,0,10,49
0,4,6,0,1,2,8,0,0,10,1,64,25,0,439,0,439,4,66,4779,0,10,49
0,4,0,1,3,2,3,0,0,5,1,64,25,121,121,0,121,4,428,4778,0,10,49
0,4,9,1,3,1,9,0,0,10,1,64,25,326,366,0,366,4,273,4766,0,10,49
