공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,2,1,1,3,1,0,0,4,1,70,26,0,36,0,36,4,305,6323,0,14,41
0,4,2,1,1,7,0,0,0,7,1,70,26,526,265,0,265,4,274,6322,0,14,41
0,4,9,1,3,5,1,0,0,6,1,0,0,132,132,0,132,4,83,6721,0,14,41
0,4,2,1,3,2,1,0,0,3,1,70,26,0,48,0,48,4,31,6518,0,14,41
0,4,9,2,1,13,11,0,0,24,1,0,26,450,757,0,757,4,128,6889,0,14,41
0,4,3,2,4,10,35,0,0,45,1,70,0,978,1694,249,1943,4,374,6890,0,14,41
0,4,6,1,1,3,0,0,0,3,1,80,26,0,164,55,220,4,125,6893,0,14,41
0,4,2,1,1,0,0,0,0,0,1,81,26,0,60,17,77,4,307,6894,0,14,41
0,7,2,1,3,3,2,0,0,5,1,78,26,0,37,120,157,4,304,6895,0,14,41
0,4,2,1,3,2,7,0,0,9,1,78,26,318,73,0,73,4,3,6896,0,14,41
0,7,9,2,4,0,8,0,0,8,1,61,52,1545,208,844,1053,4,11,6315,0,14,41
0,4,0,2,3,3,0,0,0,3,1,61,0,2039,245,0,245,4,103,6320,0,14,41
0,4,9,1,4,9,0,0,0,9,1,84,26,451,164,0,164,4,36,6319,0,14,41
0,4,9,2,1,8,1,0,0,9,1,61,0,1286,184,131,315,4,391,6317,0,14,41
0,4,9,2,3,10,5,0,0,15,1,57,0,3138,470,88,558,4,64,6318,0,14,41
0,4,9,2,4,8,0,0,0,8,1,61,0,1871,494,100,594,4,45,6316,0,14,41
0,4,3,2,3,4,1,0,0,5,1,78,0,234,110,87,197,4,338,6915,0,14,41
0,4,9,2,1,111,26,0,0,137,2,78,0,24356,5454,4123,9577,4,17,6914,0,14,41
0,4,9,2,1,8,0,0,0,8,1,61,0,1353,269,72,341,4,338,6521,0,14,41
0,4,9,2,1,33,0,0,0,33,1,7,0,15556,950,878,1828,4,179,6520,0,14,41
0,4,0,1,3,0,0,0,0,0,1,78,26,611,130,221,351,4,351,6519,0,14,41
0,4,0,1,3,2,0,0,0,2,1,70,26,0,23,66,89,4,307,6912,0,14,41
0,4,2,1,3,3,1,0,0,4,1,70,26,0,52,0,52,4,307,6907,0,14,41
0,4,2,1,3,4,3,0,0,7,1,70,26,0,118,0,118,4,335,6911,0,14,41
0,4,0,2,3,5,7,0,0,12,1,61,0,1121,220,255,475,4,343,6904,0,14,41
0,4,0,1,3,1,1,0,0,2,1,70,26,0,42,20,62,4,298,6913,0,14,41
0,4,6,1,3,2,0,0,0,2,1,78,26,0,109,0,109,4,51,6906,0,14,41
0,4,9,2,1,17,2,0,0,19,1,61,14,5121,1757,360,2117,4,1,6905,0,14,41
0,4,2,1,1,2,0,0,0,2,1,70,26,0,81,18,99,4,351,6908,0,14,41
0,4,0,2,3,0,10,0,0,10,1,61,0,1736,250,78,329,4,337,6903,0,14,41
0,4,2,1,1,7,1,0,0,8,1,70,26,0,28,57,85,4,309,6910,0,14,41
0,4,2,1,3,1,0,0,0,1,1,70,26,0,25,24,49,4,194,6909,0,14,41
0,4,3,2,3,2,1,0,0,3,1,61,26,735,141,46,188,4,250,6898,0,14,41
0,4,3,2,3,5,0,0,0,5,1,61,0,1314,226,33,259,4,3,6902,0,14,41
0,4,9,2,3,3,0,0,0,3,1,0,0,660,123,100,224,4,37,6901,0,14,41
0,4,9,2,4,5,0,0,0,5,1,61,0,660,128,106,234,4,37,6901,0,14,41
0,4,2,1,3,1,12,0,0,13,1,61,26,0,210,214,424,4,79,6899,0,14,41
0,4,9,1,1,3,2,0,0,5,1,7,0,1840,300,133,433,4,6,6897,0,14,41
0,4,3,2,3,1,1,0,0,2,1,61,26,3630,99,61,160,4,5,6900,0,14,41
0,4,2,1,3,2,2,0,0,4,1,78,26,188,177,0,177,4,79,6508,0,14,41
0,4,5,2,4,18,8,0,0,26,1,78,26,7761,5456,808,6265,4,299,6321,0,14,41
0,4,9,2,4,67,13,0,0,80,2,61,0,18348,602,3774,4376,4,43,6891,0,14,41
0,4,9,2,4,16,2,0,0,18,1,7,0,8660,388,790,1178,4,213,6854,0,14,41
0,4,2,1,3,2,2,1,0,5,1,61,26,985,157,20,177,4,252,6855,0,14,41
0,4,6,1,1,14,1,0,0,15,1,75,26,0,60,156,216,4,305,6851,0,14,41
0,4,0,1,3,8,3,0,0,11,1,75,26,0,163,0,163,4,298,6853,0,14,41
0,4,3,2,3,22,1,0,0,23,1,77,26,405,150,48,198,4,395,6848,0,14,41
0,4,0,1,1,8,5,0,0,13,1,78,26,0,54,342,396,4,304,6858,0,14,41
0,4,2,1,1,3,1,0,0,4,1,75,26,0,225,75,300,4,451,6849,0,14,41
0,4,3,2,3,4,1,0,0,5,1,61,0,1041,168,33,202,4,373,6857,0,14,41
0,4,5,2,3,1,3,0,0,4,1,75,26,308,474,0,474,4,348,6850,0,14,41
0,4,9,2,1,41,6,0,0,47,1,7,0,7273,345,977,1322,4,90,6856,0,14,41
0,4,2,1,3,2,8,0,0,10,1,78,26,387,169,39,209,4,79,6859,0,14,41
0,4,2,1,3,5,0,0,0,5,1,76,26,0,131,8,139,4,32,6852,0,14,41
0,4,5,2,3,3,2,2,0,7,1,77,26,754,344,6,350,4,5,6847,0,14,41
0,4,7,1,3,8,7,0,0,15,1,61,26,0,266,0,266,4,337,6862,0,14,41
0,4,2,1,3,1,2,0,0,3,1,61,93,0,55,0,55,4,462,6876,0,14,41
0,4,0,1,3,3,0,0,0,3,1,56,14,0,66,89,155,4,401,6864,0,14,41
0,4,2,1,1,23,8,0,0,31,1,61,26,0,89,114,204,4,323,6861,0,14,41
0,4,2,1,3,6,7,0,0,13,1,61,26,2251,135,182,317,4,26,6863,0,14,41
0,7,0,2,3,24,1,0,0,25,1,61,0,2517,480,40,520,4,391,6860,0,14,41
0,4,0,1,3,4,0,0,0,4,1,61,93,0,12,34,46,4,251,6870,0,14,41
0,4,2,1,3,3,0,0,0,3,1,61,26,0,60,0,60,4,51,6879,0,14,41
0,4,2,1,3,1,1,0,0,2,1,61,0,0,82,83,165,4,35,6880,0,14,41
0,4,2,1,3,1,2,0,0,3,1,61,93,0,67,32,99,4,165,6871,0,14,41
0,7,9,1,3,5,0,0,0,5,1,0,0,20,20,0,20,4,285,8432,0,15,110
0,4,2,1,3,5,0,0,0,5,1,61,93,132,66,66,132,4,323,8438,0,15,110
0,4,2,1,3,4,0,0,0,4,1,61,93,50,25,25,50,4,444,8427,0,15,110
0,4,2,1,3,2,3,0,0,5,1,61,93,165,132,33,165,4,285,8445,0,15,110
0,4,8,1,3,2,0,0,0,2,1,64,93,99,30,68,99,4,462,8439,0,15,110
0,4,2,1,3,6,0,0,0,6,1,61,93,33,33,0,33,4,108,8424,0,15,110
0,4,9,1,3,4,4,0,0,8,1,7,0,142,133,0,133,4,0,8437,0,15,110
0,4,2,1,1,2,0,0,0,2,1,61,93,0,20,28,48,4,385,6872,0,14,41
0,4,2,1,1,1,1,0,0,2,1,61,93,0,11,32,43,4,192,6873,0,14,41
0,4,9,1,4,1,0,0,0,1,1,7,93,719,198,1650,1848,4,382,8431,0,15,110
0,4,2,1,3,2,0,0,0,2,1,61,93,0,20,13,33,4,43,6883,0,14,41
0,4,0,1,3,1,0,0,0,1,1,61,93,0,66,33,99,4,350,6881,0,14,41
0,4,2,1,3,1,1,0,0,2,1,61,93,0,15,150,165,4,43,6871,0,14,41
0,4,2,1,1,3,1,0,0,4,1,61,93,43,19,24,43,4,43,8442,0,15,110
0,4,0,1,3,3,0,0,0,3,1,61,93,161,127,33,160,4,51,8443,0,15,110
0,4,2,1,3,2,3,0,0,5,1,61,93,0,66,0,66,4,156,6888,0,14,41
0,4,2,1,3,3,0,0,0,3,1,7,0,2700,473,486,959,4,102,6869,0,14,41
0,4,0,1,3,4,2,0,0,6,1,61,93,0,24,40,65,4,166,6886,0,14,41
0,7,9,2,1,2,1,0,0,3,1,0,0,142,133,0,133,4,172,8437,0,15,110
0,4,6,1,3,1,1,0,0,2,1,61,93,0,50,0,50,4,384,6867,0,14,41
0,7,9,1,3,3,3,0,0,6,1,0,0,719,1840,0,1840,4,445,8433,0,15,110
0,4,9,1,3,0,0,0,0,0,1,0,0,719,33,1540,1573,4,377,8434,0,15,110
0,4,0,1,3,1,1,0,0,2,1,61,93,49,16,33,49,4,351,8425,0,15,110
0,4,2,1,3,1,0,0,0,1,1,61,93,0,19,79,99,4,156,6875,0,14,41
0,4,6,1,3,0,1,0,0,1,1,61,93,0,33,0,33,4,298,6868,0,14,41
0,4,6,1,3,2,0,0,0,2,1,61,93,43,42,0,42,4,283,8423,0,15,110
0,4,2,1,3,1,1,0,0,2,1,61,93,0,66,0,66,4,194,6878,0,14,41
0,4,6,1,3,1,0,0,0,1,1,78,93,0,9,27,36,4,194,6874,0,14,41
0,4,2,1,3,2,1,0,0,3,1,61,93,56,15,41,56,4,321,8430,0,15,110
0,4,2,1,3,4,0,0,0,4,1,61,93,0,49,0,49,4,321,6877,0,14,41
0,7,9,1,3,1,1,0,0,2,1,0,0,719,1683,0,1683,4,166,8431,0,15,110
0,7,6,1,3,3,0,0,0,3,1,61,93,165,115,50,165,4,344,8429,0,15,110
0,4,2,1,3,3,1,0,0,4,1,61,93,50,25,25,50,4,433,8426,0,15,110
0,4,0,1,1,3,0,0,0,3,1,61,93,0,49,0,49,4,194,6887,0,14,41
0,4,2,1,3,2,1,0,0,3,1,61,93,99,30,69,99,4,43,8444,0,15,110
0,4,2,1,3,2,3,0,0,5,1,61,93,66,33,33,66,4,287,8428,0,15,110
0,4,2,1,3,1,2,0,0,3,1,61,93,66,50,16,66,4,401,8440,0,15,110
0,4,2,1,3,0,0,0,0,0,1,61,93,0,29,20,49,4,303,6865,0,14,41
0,4,2,1,3,3,2,0,0,5,1,56,93,0,45,20,66,4,346,6866,0,14,41
0,4,2,1,3,3,5,0,0,8,1,56,93,0,120,160,280,4,166,6885,0,14,41
0,4,2,1,3,1,1,0,0,2,1,61,93,0,26,24,50,4,88,6865,0,14,41
0,7,9,1,3,7,5,0,0,12,1,0,0,719,264,2650,2914,4,408,8436,0,15,110
0,4,9,1,4,1,0,0,0,1,1,7,93,719,230,1650,1880,4,0,8431,0,15,110
0,4,9,2,4,3,0,0,0,3,1,7,0,50,25,25,50,4,172,8441,0,15,110
0,4,2,1,3,5,2,2,1,10,1,56,93,0,96,69,165,4,350,6884,0,14,41
0,4,2,1,3,1,3,0,0,4,1,61,93,0,50,0,50,4,421,6882,0,14,41
0,7,9,1,1,6,0,0,0,6,1,0,0,719,66,1650,1716,4,31,8435,0,15,110
0,4,0,1,3,3,1,0,0,4,1,61,0,789,245,0,245,4,251,6311,0,14,41
0,4,9,2,1,14,15,0,0,29,1,61,0,1839,333,148,481,4,298,8224,0,15,14
0,4,2,1,1,5,17,0,0,22,1,61,0,0,195,198,393,4,395,6313,0,14,41
0,4,3,2,3,4,0,0,0,4,1,61,0,1531,302,0,302,4,251,6312,0,14,41
0,4,2,1,3,4,1,0,0,5,1,61,0,0,168,30,198,4,252,6306,0,14,41
0,4,2,1,3,4,1,0,0,5,1,61,26,264,264,0,264,4,5,8225,0,15,14
0,4,0,1,3,4,1,0,0,5,1,64,26,0,223,50,273,4,393,6310,0,14,41
0,4,0,2,3,4,1,0,0,5,1,61,0,1258,98,150,248,4,147,6314,0,14,41
0,4,9,2,1,9,1,0,0,10,1,33,0,54706,7550,1951,9501,4,215,6309,0,14,41
0,4,4,2,1,280,280,0,0,560,0,33,0,149746,33018,62476,95494,4,51,6308,0,14,41
0,4,3,2,3,4,11,0,0,15,1,61,0,1653,328,165,493,4,3,6307,0,14,41
0,4,9,2,1,5,1,0,0,6,1,7,0,660,160,37,198,4,250,6434,0,14,41
0,4,3,2,3,4,0,0,0,4,1,1,0,2657,328,164,493,4,250,6406,0,14,41
0,4,0,2,3,4,1,0,0,5,1,61,26,943,160,160,320,4,251,6405,0,14,41
0,4,2,1,1,9,1,0,0,10,1,7,0,5629,1030,3030,4061,4,128,7053,0,14,54
0,4,9,1,4,14,8,0,0,22,1,7,0,7765,655,230,886,4,162,7054,0,14,54
0,4,9,1,4,14,8,0,0,22,1,7,0,7018,1368,944,2312,4,172,6387,0,14,41
0,4,9,2,4,2,0,0,0,2,1,7,0,4707,960,9,969,4,398,8258,0,15,54
0,4,3,2,1,10,2,0,0,12,1,1,0,988,372,359,732,4,321,6435,0,14,41
0,4,9,2,1,12,11,0,0,23,1,1,0,8276,2560,1383,3944,4,50,6390,0,14,41
0,4,5,2,4,4,1,0,0,5,1,1,0,1645,385,205,591,4,255,6407,0,14,41
0,4,2,1,1,4,0,0,0,4,1,78,50,1016,335,679,1015,4,97,6892,0,14,41
0,4,9,2,4,2,13,0,0,15,1,7,40,4359,330,981,1311,4,73,6446,0,14,41
0,4,9,2,3,5,2,0,0,7,1,1,0,1748,331,330,662,4,29,6444,0,14,41
0,7,9,2,4,5,0,0,0,5,1,7,52,1600,474,66,541,4,204,6445,0,14,41
0,4,9,2,4,10,15,0,0,25,1,7,0,1439,493,161,654,4,421,6447,0,14,41
0,4,3,2,4,10,0,0,0,10,1,4,0,3286,893,1418,2312,4,298,6389,0,14,41
0,4,0,1,4,10,5,0,0,15,1,1,0,0,922,0,922,4,448,6460,0,14,41
0,4,9,2,1,179,31,0,0,210,2,33,0,114856,14103,7099,21202,4,17,8268,0,15,54
0,4,9,2,4,10,4,0,0,14,1,7,0,2441,561,491,1052,4,27,6459,0,14,41
0,4,3,2,4,4,1,0,0,5,1,1,14,3603,716,274,991,4,194,6385,0,14,41
0,4,9,2,1,10,18,0,0,28,1,7,0,2170,241,762,1004,4,81,6388,0,14,41
0,4,0,1,1,1,1,0,0,2,1,1,92,0,400,0,400,4,459,6386,0,14,41
0,4,9,2,4,3,2,0,0,5,1,1,0,7018,2016,296,2312,4,244,7055,0,14,54
0,4,2,1,1,34,0,0,0,34,1,1,26,0,36,125,161,4,305,6443,0,14,41
0,4,2,1,1,25,4,0,0,29,1,7,0,0,325,37,362,4,252,8263,0,15,54
0,4,3,2,1,17,3,0,0,20,1,7,0,3650,568,571,1139,4,363,6442,0,14,41
0,4,9,2,4,3,10,0,0,13,1,7,0,549,173,0,173,4,11,6440,0,14,41
0,4,3,2,3,1,1,0,0,2,1,78,92,231,131,99,231,4,43,6441,0,14,41
0,4,4,2,1,34,5,0,0,39,1,6,0,9111,2095,2065,4160,4,395,6463,0,14,41
0,4,9,2,4,35,11,0,0,46,2,1,0,3267,766,1399,2165,4,21,6469,0,14,41
0,4,9,2,4,4,0,0,0,4,1,7,0,1957,827,0,827,4,115,6462,0,14,41
0,7,9,2,4,18,2,0,0,20,1,7,0,3305,1020,194,1214,4,338,8270,0,15,54
0,4,9,2,4,20,2,0,0,22,1,0,0,6612,1702,330,2032,4,66,6461,0,14,41
0,4,9,2,4,6,5,0,0,11,1,1,0,5332,1249,903,2152,4,321,8272,0,15,54
0,7,0,2,3,3,1,0,0,4,1,1,0,0,469,0,469,4,365,6467,0,14,41
0,4,2,1,3,3,2,0,0,5,1,1,0,1058,405,0,405,4,252,6466,0,14,41
0,4,4,2,4,17,1,0,0,18,1,6,0,6614,363,3339,3702,4,225,6464,0,14,41
0,4,3,2,4,50,3,0,0,53,2,1,0,19915,7062,2192,9254,4,400,6468,0,14,41
0,4,3,2,1,9,1,0,0,10,1,1,0,9980,3005,141,3146,4,183,8269,0,15,54
0,4,0,2,4,10,0,0,0,10,1,3,0,6476,981,791,1773,4,395,6465,0,14,41
0,4,9,2,1,3,2,0,0,5,1,25,0,9619,1675,1928,3603,4,19,8273,0,15,54
0,4,2,1,1,0,0,0,0,0,1,1,0,1306,308,89,397,4,277,8271,0,15,54
