공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,6,1,1,8,2,0,0,10,1,41,5,527,60,150,210,18,271,7187,0,7,24
0,4,6,1,3,4,2,0,0,6,1,62,5,55,33,22,55,18,271,7180,0,7,24
0,4,6,1,3,3,1,0,0,4,1,48,5,50,50,0,50,18,271,7182,0,7,24
0,4,9,2,3,3,2,0,0,5,1,58,5,163,127,0,127,18,117,7183,0,7,24
0,4,6,1,3,4,3,0,0,7,1,54,5,264,368,0,368,18,120,7186,0,7,24
0,4,9,2,1,30,10,0,0,40,1,38,5,676,630,0,630,18,117,7184,0,7,24
0,4,0,2,3,0,0,0,0,0,1,58,5,114,114,0,114,18,419,7185,0,7,24
0,4,6,1,3,3,1,0,0,4,1,62,5,46,33,13,46,18,271,7181,0,7,24
0,4,9,2,1,8,17,0,0,25,1,30,5,305,308,72,381,18,74,7188,0,7,25
0,4,0,1,3,2,0,0,0,2,1,58,5,616,175,187,363,18,417,7200,0,7,25
0,4,9,2,1,6,1,0,0,7,1,50,5,203,103,82,185,18,275,7196,0,7,25
0,4,6,1,3,6,0,0,0,6,1,33,5,130,88,11,99,18,270,7193,0,7,25
0,4,6,1,3,1,1,0,0,2,1,60,5,103,50,53,103,18,417,7199,0,7,25
0,4,6,1,1,1,2,0,0,3,1,30,5,172,172,0,172,18,56,7192,0,7,25
0,4,9,2,3,0,2,0,0,2,1,61,5,92,36,0,36,18,52,7197,0,7,25
0,4,6,1,3,8,2,0,0,10,1,58,5,250,43,207,250,18,271,7195,0,7,25
0,4,9,2,3,20,10,0,0,30,1,58,5,308,115,0,115,18,285,7201,0,7,25
0,4,6,1,3,1,2,0,0,3,1,64,5,180,120,60,180,18,74,7189,0,7,25
0,4,0,1,3,1,2,0,0,3,1,34,5,150,90,60,150,18,253,7198,0,7,25
0,4,9,2,3,0,2,0,0,2,1,58,5,495,76,0,76,18,423,7194,0,7,25
0,4,4,2,1,2,16,0,0,18,1,42,5,248,337,0,337,18,74,7191,0,7,25
0,4,6,1,1,0,4,0,0,4,1,58,5,101,101,0,101,18,74,7190,0,7,25
0,4,2,1,3,4,0,0,0,4,1,51,5,0,135,30,165,18,282,7203,0,7,38
0,4,0,2,3,4,2,0,0,6,1,42,5,0,71,0,71,18,74,7204,0,7,38
0,4,9,2,3,2,1,0,0,3,1,79,5,445,22,45,68,18,117,7207,0,7,38
0,4,6,1,1,3,3,0,0,6,1,74,5,66,35,30,66,18,417,7206,0,7,38
0,4,9,2,3,6,2,0,0,8,1,74,5,353,156,194,351,18,120,7205,0,7,38
0,4,9,2,3,1,1,0,0,2,1,50,5,151,139,0,139,18,118,7202,0,7,38
0,4,9,2,3,4,0,0,0,4,1,46,5,200,133,0,133,18,225,7208,0,7,50
0,4,0,1,3,2,1,0,0,3,1,51,5,66,33,32,66,18,349,7211,0,7,50
0,4,6,1,3,7,7,0,0,14,1,50,5,321,102,219,321,18,86,7210,0,7,50
0,4,6,1,3,7,2,0,0,9,1,49,5,115,115,0,115,18,226,7209,0,7,50
0,4,9,2,3,4,0,0,0,4,1,48,5,306,159,37,197,18,228,7212,0,7,81
