공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,1,6,0,2,2,1,0,0,3,1,42,5,198,148,49,198,7,48,1177,0,1,67
0,1,0,0,2,1,0,0,0,1,1,35,5,75,20,55,75,7,348,1180,0,1,67
0,1,6,0,0,6,0,0,0,6,1,35,5,187,165,15,180,7,229,1171,0,1,67
0,1,6,0,0,2,2,0,0,4,1,29,5,175,21,112,133,7,48,1178,0,1,67
0,1,0,0,2,1,0,0,0,1,1,35,5,16,16,0,16,7,330,1176,0,1,67
0,1,0,0,2,3,1,0,0,4,1,35,5,46,26,0,26,7,251,1173,0,1,67
0,1,0,0,0,2,0,0,0,2,1,39,1,120,70,50,120,7,283,1174,0,1,67
0,1,0,0,2,1,0,0,0,1,1,35,5,152,93,12,105,7,194,1172,0,1,67
0,1,0,0,0,1,2,0,0,3,1,49,5,243,123,120,243,7,46,1179,0,1,67
0,1,0,0,0,1,2,0,0,3,1,35,5,81,81,0,81,7,48,1175,0,1,67
0,1,6,0,0,2,3,0,0,5,1,35,5,70,70,0,70,7,46,1186,0,1,73
0,1,9,1,0,5,2,0,0,7,1,35,5,564,125,0,125,7,230,1189,0,1,73
0,1,6,0,2,10,15,0,0,25,1,35,5,240,223,16,240,7,46,1187,0,1,73
0,1,0,0,0,2,8,0,0,10,1,39,5,0,142,74,216,7,10,1190,0,1,73
0,1,9,1,0,12,2,0,0,14,1,35,5,226,196,0,196,7,80,1188,0,1,73
0,1,0,1,2,1,0,0,0,1,1,39,5,279,68,82,150,7,135,1185,0,1,73
0,1,0,1,2,14,9,0,0,23,1,58,5,444,97,82,180,7,348,1284,0,1,97
0,1,0,1,2,1,2,0,0,3,1,56,5,499,285,0,285,7,182,1286,0,1,97
0,1,9,1,2,4,8,0,0,12,1,53,5,1191,465,0,465,7,286,1285,0,1,97
0,1,9,1,0,5,2,0,0,7,1,53,5,480,452,28,480,7,332,1283,0,1,97
0,1,0,0,2,11,6,0,0,17,1,54,5,0,54,85,140,7,285,1216,0,1,85
0,1,0,0,0,9,1,0,0,10,1,49,5,269,269,0,269,7,245,1217,0,1,85
0,1,9,1,3,3,1,0,0,4,1,60,5,731,177,66,243,7,15,1213,0,1,85
0,1,6,0,2,1,3,0,0,4,1,56,5,390,222,0,222,7,241,1214,0,1,85
0,1,9,1,0,1,2,0,0,3,1,60,5,191,67,4,71,7,347,1215,0,1,85
0,1,0,1,2,4,4,0,0,8,1,52,5,0,173,288,462,7,45,1010,0,1,1
0,1,2,0,0,6,3,0,0,9,1,54,5,244,244,0,244,7,223,1014,0,1,1
0,1,9,1,0,5,2,0,0,7,1,60,5,1448,335,265,600,7,243,1008,0,1,1
0,1,0,0,0,5,0,0,0,5,1,60,5,562,278,2,281,7,295,1012,0,1,1
0,1,0,0,2,5,0,0,0,5,1,49,6,2326,446,0,446,7,243,1011,0,1,1
0,1,6,0,0,7,1,0,0,8,1,49,5,458,266,3,270,7,243,1009,0,1,1
0,1,0,0,0,4,1,0,0,5,1,22,5,2842,281,443,724,7,245,1015,0,1,1
0,1,9,1,2,2,0,0,0,2,1,49,5,285,49,120,169,7,2,1013,0,1,1
0,1,3,1,2,9,4,0,0,13,1,49,5,375,134,240,375,7,204,1226,0,1,90
0,1,0,0,2,4,0,0,0,4,1,49,5,882,347,146,493,7,253,1224,0,1,90
0,1,9,1,0,19,49,0,0,68,2,60,5,320,381,403,785,7,207,1226,0,1,90
0,1,6,0,2,5,10,0,0,15,1,49,5,1075,492,0,492,7,10,1222,0,1,90
0,1,0,1,2,6,3,0,0,9,1,49,5,174,40,0,40,7,227,1233,0,1,90
0,1,0,0,0,3,0,0,0,3,1,42,5,422,226,0,226,7,82,1225,0,1,90
0,1,2,0,2,1,0,0,0,1,1,22,5,815,161,0,161,7,330,1218,0,1,90
0,1,0,0,2,0,0,0,0,0,1,49,5,3000,177,50,227,5,93,1227,0,1,90
0,1,6,0,2,4,3,0,0,7,1,44,5,1129,148,52,200,7,223,1220,0,1,90
0,1,9,1,0,5,1,0,0,6,1,25,5,1186,194,0,194,7,157,1229,0,1,90
0,1,9,1,0,1,2,0,0,3,1,60,5,300,158,0,158,7,63,1232,0,1,90
0,1,0,0,2,1,1,0,0,2,1,22,5,604,40,9,49,7,303,1219,0,1,90
0,1,9,0,0,8,2,0,0,10,1,60,5,1258,181,302,483,7,30,1231,0,1,90
0,1,0,0,0,1,1,0,0,2,1,49,5,444,187,44,231,7,77,1223,0,1,90
0,1,0,0,0,5,2,0,0,7,1,49,5,494,494,0,494,7,329,1221,0,1,90
0,1,0,0,0,5,2,0,0,7,1,49,5,494,494,0,494,7,329,1221,0,1,90
0,1,0,0,2,5,1,0,0,6,1,53,5,129,33,96,129,7,214,1228,0,1,90
0,1,4,1,0,45,150,0,0,195,2,60,5,2122,1455,114,1570,7,201,1226,0,1,90
0,1,6,0,2,2,0,0,0,2,1,49,5,49,40,9,49,7,303,1219,0,1,90
0,1,6,0,2,1,2,0,0,3,1,58,5,611,154,135,289,7,46,1230,0,1,90
0,1,9,1,0,13,4,0,0,17,1,60,5,387,326,353,680,7,199,1226,0,1,90
0,1,6,0,2,7,0,0,0,7,1,22,5,366,200,100,300,7,242,1150,0,1,63
0,1,0,0,2,1,1,0,0,2,1,22,18,79,40,39,79,7,213,1155,0,1,63
0,1,6,0,2,8,1,0,0,9,1,22,18,62,9,13,22,7,228,1158,0,1,63
0,1,0,0,2,0,5,0,0,5,1,49,5,1137,484,0,484,7,64,1151,0,1,63
0,1,0,0,2,3,2,0,0,5,1,22,18,62,40,22,62,7,254,1157,0,1,63
0,1,6,0,0,14,6,0,0,20,1,22,5,1064,24,56,81,7,254,1154,0,1,63
0,1,0,0,0,0,0,0,0,0,1,22,5,1,45,80,125,7,254,1153,0,1,63
0,1,6,0,2,1,1,0,0,2,1,22,18,29,29,0,29,7,229,1160,0,1,63
0,1,0,0,2,1,0,0,0,1,1,22,18,29,29,0,29,7,35,1159,0,1,63
0,1,6,0,0,11,45,0,0,56,2,61,5,1137,374,86,460,7,63,1152,0,1,63
0,1,6,0,0,2,3,0,0,5,1,22,18,62,40,22,62,7,167,1156,0,1,63
0,1,0,0,0,0,3,0,0,3,1,49,5,779,57,0,57,7,253,1056,0,1,15
0,1,0,0,2,1,2,0,0,3,1,49,5,143,118,42,160,7,344,1057,0,1,15
0,1,9,1,2,2,7,0,0,9,1,60,5,390,244,40,285,7,19,1058,0,1,15
