공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,6,0,2,2,2,0,0,4,1,65,12,0,162,0,162,6,209,12
0,3,9,1,0,6,3,0,0,9,1,60,12,246,430,20,450,6,348,12
0,3,6,0,2,2,1,0,0,3,1,65,12,89,89,0,89,6,99,12
0,3,2,0,0,3,0,0,0,3,1,65,46,36,26,9,36,6,236,12
0,3,0,1,0,5,15,0,0,20,1,70,12,112,37,75,112,6,99,12
0,3,6,0,2,1,1,0,0,2,1,65,12,151,36,34,70,6,104,12
0,3,3,1,2,11,29,0,0,40,1,71,12,6590,966,2324,3291,6,124,12
0,3,6,0,0,2,17,0,0,19,1,81,12,154,150,3,154,6,65,12
0,3,6,0,2,2,1,0,0,3,1,65,12,0,30,20,50,6,260,12
0,3,6,0,2,2,1,0,0,3,1,60,12,0,20,147,168,6,99,12
0,3,0,0,0,3,0,0,0,3,1,50,46,493,264,229,493,6,117,12
0,3,0,0,2,1,1,0,0,2,1,69,46,0,17,9,26,6,325,12
0,3,6,0,2,2,0,0,0,2,1,70,46,32,23,9,32,6,165,12
0,3,2,0,2,0,0,0,0,0,1,50,46,48,48,0,48,6,85,12
0,3,0,0,2,1,2,0,0,3,1,50,46,46,46,0,46,6,236,12
0,3,0,0,0,1,0,0,0,1,1,70,46,0,15,12,27,6,265,12
0,3,0,0,2,3,1,0,0,4,1,50,46,0,57,7,64,6,270,12
0,3,6,0,2,1,0,0,0,1,1,65,46,23,15,8,23,6,152,12
0,3,0,0,2,1,0,0,0,1,1,70,12,138,138,0,138,6,124,12
0,3,0,1,2,2,1,0,0,3,1,50,46,493,264,229,493,6,38,12
0,3,6,0,0,4,1,0,0,5,1,70,12,0,149,16,165,6,1,12
0,3,6,0,0,2,0,0,0,2,1,59,12,169,95,73,169,6,57,12
0,3,6,0,2,0,1,0,0,1,1,50,46,0,57,0,57,6,261,12
0,3,0,0,2,1,0,0,0,1,1,70,12,39,39,0,39,6,99,12
0,3,6,0,2,1,1,0,0,2,1,50,12,493,264,229,493,6,117,12
0,3,3,1,2,1,0,0,0,1,1,70,12,1159,106,95,201,6,41,12
0,3,0,0,2,2,0,0,0,2,1,77,12,125,125,0,125,6,325,12
0,3,6,0,2,1,2,0,0,3,1,65,12,0,58,10,68,6,123,12
0,3,6,0,2,1,0,0,0,1,1,65,46,32,20,12,32,6,333,12
0,3,6,0,0,1,1,0,0,2,1,70,12,54,30,24,54,6,267,12
0,3,0,0,0,0,1,0,0,1,1,50,12,0,46,0,46,6,85,12
0,3,6,0,2,1,1,0,0,2,1,81,12,118,43,0,43,6,99,12
0,3,0,0,2,1,0,0,0,1,1,65,12,23,19,4,23,6,258,12
0,3,6,0,2,0,3,0,0,3,1,65,12,0,82,0,82,6,123,12
0,3,9,1,0,2,1,0,0,3,1,82,12,1580,704,33,737,6,40,12
0,3,0,0,2,2,0,0,0,2,1,81,12,248,100,45,145,6,102,12
0,3,6,0,2,1,0,0,0,1,1,50,46,0,20,6,26,6,244,12
0,3,6,0,2,0,2,0,0,2,1,70,12,60,50,10,60,6,56,12
0,3,0,1,3,3,0,0,0,3,1,60,12,780,104,0,104,6,33,12
0,3,6,0,2,0,4,0,0,4,1,65,12,0,28,100,128,6,123,12
0,3,6,0,2,1,1,0,0,2,1,70,12,1667,185,460,645,6,144,12
0,3,3,1,0,19,1,0,0,20,1,36,0,6550,450,450,900,6,106,12
0,3,9,1,0,19,1,0,0,20,1,80,0,3300,505,182,688,6,295,12
0,3,9,1,0,13,3,0,0,16,1,50,12,12560,1039,776,1816,6,166,12
0,3,0,0,2,1,0,0,0,1,1,70,12,0,33,0,33,6,72,12
0,3,0,1,2,13,2,0,0,15,1,65,0,912,499,0,499,6,185,12
0,3,3,1,0,7,2,0,0,9,1,65,12,313,166,20,186,6,3,12
0,3,3,1,2,2,1,0,0,3,1,16,12,883,67,99,166,6,172,12
0,7,5,1,3,1,1,0,0,2,1,70,9,266,102,149,252,6,28,12
0,3,9,1,2,0,4,0,0,4,1,80,12,742,49,20,69,6,23,12
0,3,0,0,0,4,1,0,0,5,1,0,24,0,50,182,233,6,143,12
0,3,9,1,2,10,1,0,0,11,1,37,0,10817,157919,172,158091,6,131,12
0,3,9,1,2,10,1,0,0,11,1,37,0,12962,53448,130,53578,6,132,12
0,3,0,0,2,5,0,0,0,5,1,36,0,94,94,0,94,6,236,12
0,3,2,0,0,3,3,0,0,6,1,36,0,54,11,42,54,6,118,12
0,3,6,0,2,1,11,0,0,12,1,36,0,0,184,106,290,2,124,12
0,3,6,0,0,3,0,0,0,3,1,70,12,0,328,0,328,6,188,12
0,3,6,0,0,5,1,0,0,6,1,36,12,0,206,0,206,6,230,12
0,3,2,0,0,10,7,0,0,17,1,36,0,670,315,354,670,6,131,12
0,3,2,0,0,6,3,0,0,9,1,36,12,452,80,372,452,6,135,12
0,3,6,0,2,0,3,0,0,3,1,36,0,0,163,0,163,6,131,12
0,3,2,0,0,3,1,0,0,4,1,36,12,136,95,41,136,6,124,12
0,3,9,1,3,5,5,0,0,10,1,36,12,1054,568,485,1054,2,35,12
0,3,2,0,0,9,4,0,0,13,1,36,0,542,286,256,542,6,131,12
0,3,6,0,0,10,0,0,0,10,1,36,0,0,2864,583,3447,2,130,12
0,3,2,0,0,3,5,0,0,8,1,38,12,112,32,79,112,6,132,12
0,3,0,0,2,5,0,0,0,5,1,65,12,0,115,42,158,6,264,12
0,3,2,0,0,5,2,0,0,7,1,36,0,351,160,191,351,6,135,12
0,3,0,0,2,4,2,0,0,6,1,36,0,117,55,62,117,6,28,12
0,3,6,0,2,1,1,0,0,2,1,73,12,541,156,134,291,6,124,12
0,3,2,0,2,5,2,0,0,7,1,37,0,72,50,109,160,6,119,12
0,3,9,0,2,5,1,0,0,6,1,36,12,92,92,0,92,6,131,12
