공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,0,0,2,9,0,0,0,9,1,34,9,115,77,38,115,6,92,10
0,3,0,1,0,4,2,0,0,6,1,37,9,126,50,76,126,6,222,10
0,3,6,0,0,1,0,0,0,1,1,37,9,20,15,5,20,6,220,10
0,3,6,0,2,0,0,0,0,0,1,37,9,93,93,0,93,6,92,10
0,3,9,1,0,5,9,0,0,14,1,37,9,158,99,0,99,6,64,10
0,3,2,0,0,0,5,0,0,5,1,37,9,444,90,0,90,6,60,10
0,3,0,0,2,2,1,0,0,3,1,37,9,241,171,70,241,6,60,10
0,3,3,1,0,6,1,0,0,7,1,37,9,130,64,66,130,6,206,10
0,3,6,0,2,4,1,0,0,5,1,37,9,40,40,0,40,6,206,10
0,3,6,0,2,2,1,0,0,3,1,37,9,133,133,0,133,6,206,10
0,3,6,0,0,2,5,0,0,7,1,37,9,336,172,164,336,6,282,10
0,3,6,0,2,2,1,0,0,3,1,37,9,56,56,0,56,6,206,10
0,3,6,0,2,2,9,0,0,11,1,37,9,149,149,0,149,6,63,103
0,3,9,1,2,3,4,0,0,7,1,34,9,145,101,0,101,6,63,103
0,3,2,0,2,3,4,0,0,7,1,37,9,287,113,53,166,6,64,103
0,3,6,0,2,2,5,0,0,7,1,37,9,193,193,0,193,6,66,103
0,3,0,0,2,3,0,0,0,3,1,37,9,154,154,0,154,6,52,103
0,3,3,1,0,5,13,0,0,18,1,37,9,287,170,23,193,6,64,103
0,3,9,0,0,3,3,0,0,6,1,34,9,101,87,14,101,6,64,103
0,3,6,0,2,1,3,0,0,4,1,37,9,168,150,18,168,6,61,52
0,3,6,0,2,8,3,0,0,11,1,37,9,257,257,0,257,6,256,52
0,3,6,0,2,3,4,0,0,7,1,33,9,207,103,103,207,6,64,52
0,3,6,0,0,0,0,0,0,0,1,37,9,83,83,0,83,6,336,52
0,3,6,0,2,2,3,0,0,5,1,34,9,141,132,9,141,6,64,52
0,3,4,1,2,1,2,0,0,3,1,37,9,130,130,0,130,6,64,52
0,3,9,1,2,6,1,0,0,7,1,26,9,78,30,48,78,6,245,18
0,3,2,0,2,1,1,0,0,2,1,46,9,190,113,93,206,6,9,18
0,3,6,0,2,0,1,0,0,1,1,43,9,147,147,0,147,6,92,18
0,3,6,0,2,0,0,0,0,0,1,43,9,161,70,91,161,6,336,18
0,3,6,0,0,4,1,0,0,5,1,43,9,64,64,0,64,6,117,18
0,3,6,0,2,2,0,0,0,2,1,43,0,88,11,77,88,6,115,18
0,3,6,0,2,4,0,0,0,4,1,43,9,82,51,0,51,6,298,18
0,3,9,1,0,1,2,0,0,3,1,43,0,32,32,0,32,6,94,18
0,3,9,1,2,0,2,0,0,2,1,55,9,23,23,0,23,6,93,18
0,3,6,0,2,1,3,0,0,4,1,43,9,0,250,0,250,6,245,0
0,3,0,1,2,6,4,0,0,10,1,56,9,205,61,30,91,6,300,0
0,3,6,0,2,2,3,0,0,5,1,56,9,142,54,0,54,6,94,0
0,3,6,0,2,1,0,0,0,1,1,60,9,210,110,100,210,6,52,0
0,3,6,0,0,4,1,0,0,5,1,42,9,155,82,0,82,6,325,0
0,3,3,1,2,2,2,0,0,4,1,56,9,356,164,150,314,6,217,0
0,3,9,0,2,2,5,0,0,7,1,34,9,60,60,0,60,6,64,0
0,3,0,0,2,1,1,0,0,2,1,56,9,83,64,19,83,6,60,0
0,3,9,1,2,4,1,0,0,5,1,28,9,397,265,0,265,6,336,0
0,3,0,1,2,5,2,0,0,7,1,28,9,221,70,30,100,6,65,0
0,3,6,0,0,4,2,0,0,6,1,60,9,737,435,0,435,6,203,0
0,3,2,0,2,0,0,0,0,0,1,40,0,573,151,135,287,6,94,0
0,3,9,0,2,5,6,0,0,11,1,56,9,195,97,16,113,6,242,0
0,3,6,0,0,0,0,0,0,0,1,56,9,47,42,5,47,6,218,34
0,3,6,0,2,4,1,0,0,5,1,43,9,119,71,0,71,6,338,34
0,3,0,0,2,4,4,0,0,8,1,43,9,212,106,20,126,6,251,97
0,3,6,0,2,2,1,0,0,3,1,43,15,106,56,50,106,6,338,97
0,3,9,1,0,1,1,0,0,2,1,55,9,72,72,0,72,6,98,97
0,3,6,0,0,1,0,0,0,1,1,43,23,33,33,0,33,6,334,42
0,3,3,1,0,1,1,0,0,2,1,37,9,98,98,0,98,6,353,6
0,3,6,0,2,3,1,0,0,4,1,37,9,51,25,26,51,6,94,6
0,3,9,1,0,5,2,0,0,7,1,34,9,260,89,49,139,6,336,6
0,3,6,0,2,5,6,0,0,11,1,35,9,408,346,0,346,6,336,6
0,3,9,1,2,0,0,0,0,0,1,37,9,82,82,0,82,6,95,6
0,3,9,1,0,2,1,0,0,3,1,34,9,166,166,0,166,6,92,6
0,3,9,1,2,2,3,0,0,5,1,37,9,333,141,0,141,6,357,6
0,3,6,0,2,2,3,0,0,5,1,33,9,233,157,0,157,6,95,6
0,3,3,1,2,1,0,0,0,1,1,37,9,17,17,0,17,6,125,6
0,3,3,1,0,6,5,0,0,11,1,37,9,241,168,73,241,6,356,6
