공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,0,1,1,65,9,0,0,74,2,64,31,3873,480,205,685,6,341,39
0,3,0,0,1,1,3,0,0,4,1,76,31,209,180,7,187,6,205,39
0,3,0,1,3,4,3,0,0,7,1,82,31,502,332,13,346,6,127,39
0,3,8,0,3,3,4,0,0,7,1,71,31,242,155,51,207,6,130,39
0,3,0,0,3,2,0,0,0,2,1,87,31,297,85,0,85,6,127,39
0,3,0,0,3,3,1,0,0,4,1,82,31,329,43,0,43,6,307,39
0,3,0,0,3,6,0,0,0,6,1,82,31,0,99,0,99,6,309,39
0,3,0,0,3,1,0,0,0,1,1,82,31,0,79,31,110,6,239,39
0,3,0,1,3,9,2,0,0,11,1,82,31,562,195,213,409,6,341,39
0,3,9,1,3,13,2,0,0,15,1,71,31,99,99,0,99,6,324,39
0,3,0,0,1,1,2,0,0,3,1,82,31,180,165,15,180,6,127,39
0,3,9,1,1,16,10,0,0,26,1,64,31,1230,270,844,1115,6,33,39
0,3,0,0,1,1,2,0,0,3,1,82,31,110,69,41,110,6,349,39
0,3,0,0,3,3,0,0,0,3,1,89,31,438,76,15,91,6,349,39
0,3,0,1,1,3,3,0,0,6,1,71,31,486,161,89,251,6,305,39
0,3,0,0,3,1,0,0,0,1,1,82,31,0,40,57,97,6,127,39
0,3,0,1,3,2,1,0,0,3,1,82,31,555,272,283,555,6,362,39
0,3,2,0,1,5,1,0,0,6,1,45,0,1000,150,60,210,6,425,39
0,3,2,0,3,3,1,0,0,4,1,45,48,0,150,0,150,6,427,39
0,3,3,1,3,3,2,0,0,5,1,82,31,337,122,121,243,6,341,39
0,3,0,1,3,10,0,0,0,10,1,45,48,311,311,0,311,6,47,39
0,6,9,1,1,10,3,0,0,13,1,54,31,382,259,54,313,6,341,39
0,6,9,1,4,8,2,0,0,10,1,54,31,992,631,254,886,6,341,215
0,3,0,1,3,3,0,0,0,3,1,54,31,229,141,141,283,6,341,39
0,3,9,1,4,11,1,0,0,12,1,54,50,3014,650,365,1015,6,393,215
0,3,0,1,4,4,2,0,0,6,1,54,0,2464,845,477,1322,6,393,39
0,3,9,1,4,4,0,0,0,4,1,54,50,693,347,108,455,6,257,215
0,3,9,1,1,15,0,0,0,15,1,54,31,3237,649,676,1326,6,391,215
0,3,9,1,3,12,3,0,0,15,1,54,0,323,101,86,187,6,378,39
0,3,9,1,1,5,1,0,0,6,1,54,14,8453,771,556,1328,6,99,39
0,3,9,1,1,8,3,0,0,11,1,64,31,2773,466,650,1117,6,341,215
0,3,9,1,1,2,1,0,0,3,1,54,0,1804,723,156,879,6,274,215
0,3,9,1,3,4,1,0,0,5,1,54,31,1185,220,128,348,6,393,215
0,3,9,1,4,2,3,0,0,5,1,54,31,14988,3719,0,3719,6,18,39
0,3,5,1,4,8,7,0,0,15,1,54,0,989,194,304,499,6,256,39
0,3,9,1,1,10,0,0,0,10,1,54,31,532,284,86,370,6,427,215
0,3,9,0,3,2,0,0,0,2,1,64,48,1693,187,186,373,6,393,39
0,3,9,1,3,3,0,0,0,3,1,54,31,577,231,116,348,6,257,39
0,3,0,0,3,5,0,0,0,5,1,64,0,3900,200,130,330,6,425,39
0,3,9,0,1,3,0,0,0,3,1,54,31,802,198,113,311,6,393,215
0,3,9,1,1,33,2,0,0,35,1,52,48,1296,324,144,468,6,236,215
0,3,0,1,3,2,1,0,0,3,1,54,0,1512,198,0,198,6,186,39
0,3,9,1,1,2,0,0,0,2,1,54,31,407,123,24,147,6,324,215
0,3,2,0,1,8,0,0,0,8,1,43,14,1644,291,31,322,6,393,39
0,3,9,0,1,5,1,0,0,6,1,54,31,1361,303,77,381,6,393,39
