공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,6,1,1,3,0,0,0,3,1,82,41,0,57,0,57,27,320,14038,0,12,166
0,4,6,1,3,1,1,0,0,2,1,82,41,119,83,0,83,27,5,14196,0,12,166
0,4,0,2,1,1,1,0,0,2,1,82,41,152,87,28,115,27,447,14184,0,12,166
0,4,0,2,3,4,0,3,0,7,1,82,41,0,399,0,399,27,4,14182,0,12,166
0,4,9,2,1,6,2,0,0,8,1,82,41,0,56,245,302,27,4,14183,0,12,166
0,4,9,1,3,2,1,0,0,3,1,96,41,0,190,0,190,27,334,14187,0,12,166
0,4,9,2,3,15,20,0,0,35,1,82,41,0,1698,50,1748,27,294,14189,0,12,166
0,4,9,2,3,1,22,0,0,23,1,82,41,504,226,246,473,27,299,14191,0,12,166
0,4,0,1,1,22,4,0,0,26,1,82,41,0,123,75,199,27,301,14190,0,12,166
0,4,2,1,1,2,0,0,0,2,1,94,41,98,88,10,98,27,124,14188,0,12,166
0,4,0,2,3,3,18,0,0,21,1,97,41,0,238,238,476,27,334,13954,0,12,166
0,4,6,1,3,1,2,0,0,3,1,82,41,0,54,0,54,27,24,13951,0,12,166
0,4,9,2,3,2,1,0,0,3,1,82,41,0,99,0,99,27,4,13950,0,12,166
0,4,6,1,3,3,3,0,0,6,1,82,41,78,78,0,78,27,131,13948,0,12,166
0,4,0,1,3,7,0,0,0,7,1,82,41,0,80,50,130,27,447,13953,0,12,166
0,4,9,1,3,7,8,0,0,15,1,97,41,0,78,46,124,27,327,13949,0,12,166
0,4,6,1,1,9,2,0,0,11,1,85,41,0,128,0,128,27,128,13955,0,12,166
0,4,0,1,1,2,0,0,0,2,1,82,41,0,268,30,298,27,12,13943,0,12,166
0,4,0,1,1,2,3,0,0,5,1,82,41,396,234,51,285,27,26,13952,0,12,166
0,4,0,2,4,21,14,9,0,44,1,82,41,435,738,246,985,27,131,13945,0,12,166
0,4,9,2,3,3,32,0,0,35,1,82,41,298,150,148,298,27,302,13944,0,12,166
0,4,0,1,3,4,0,0,0,4,1,82,41,0,150,5,155,27,345,13947,0,12,166
0,4,0,2,3,1,0,0,0,1,1,82,41,219,127,91,219,27,334,13946,0,12,166
0,4,9,2,3,4,11,0,0,15,1,96,41,458,474,0,474,27,292,14186,0,12,166
0,4,0,2,3,1,1,0,0,2,1,49,41,454,286,49,335,27,252,14185,0,12,166
0,4,0,2,3,1,1,0,0,2,1,49,41,454,286,49,335,27,463,14185,0,12,166
0,4,0,1,1,3,0,0,0,3,1,63,107,0,131,0,131,27,328,14192,0,12,166
0,4,0,1,1,2,2,0,0,4,1,63,107,0,30,0,30,27,391,14193,0,12,166
0,4,6,1,3,3,1,0,0,4,1,66,63,0,90,0,90,27,351,12428,0,12,125
0,4,0,1,3,1,0,0,0,1,1,63,63,0,54,0,54,27,331,12430,0,12,125
0,8,0,1,3,2,0,0,0,2,1,63,107,0,74,0,74,27,355,12427,0,12,125
0,4,2,1,3,6,1,0,0,7,1,63,63,0,90,60,150,27,391,14035,0,12,166
0,4,2,1,3,5,0,0,0,5,1,63,63,0,46,0,46,27,305,12429,0,12,125
0,4,8,1,1,4,0,0,0,4,1,63,56,0,54,0,54,27,305,12438,0,12,125
0,4,2,1,3,1,1,0,0,2,1,63,56,0,23,20,43,27,454,12431,0,12,125
0,4,0,1,3,1,0,0,0,1,1,63,107,0,55,0,55,27,378,12433,0,12,125
0,4,2,1,3,1,1,0,0,2,1,63,107,0,55,0,55,27,346,12437,0,12,125
0,8,0,1,3,2,0,0,0,2,1,63,107,58,29,29,58,27,320,12426,0,12,125
0,8,2,1,3,1,0,0,0,1,1,63,107,0,55,0,55,27,346,12434,0,12,125
0,4,0,1,3,3,1,0,0,4,1,63,56,0,60,65,126,27,448,12422,0,12,125
