공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,2,9,1,0,72,8,0,0,80,2,20,0,11570,960,2607,3567,43,340,10040,0,10,81
0,2,9,1,0,6,0,0,0,6,1,20,0,364,191,0,191,43,384,10056,0,10,81
0,2,9,1,0,8,2,0,0,10,1,20,0,444,186,4,191,43,384,10062,0,10,81
0,2,0,1,3,7,2,0,0,9,1,24,16,1537,915,402,1317,43,333,10031,0,10,81
0,2,9,1,0,8,2,0,0,10,1,20,0,1046,220,95,315,43,384,10061,0,10,81
0,2,9,1,3,21,36,0,0,57,2,20,0,3305,1710,2089,3800,43,7,10033,0,10,81
0,2,1,1,0,10,5,0,0,15,1,24,0,135,396,418,815,43,7,10060,0,10,81
0,2,2,0,3,5,5,0,0,10,1,23,16,1457,1457,530,1988,43,325,10071,0,10,81
0,2,4,1,3,5,2,0,0,7,1,24,16,2182,1409,348,1757,43,89,10042,0,10,81
0,2,9,1,0,4,1,0,0,5,1,24,0,216,146,49,195,43,384,10055,0,10,81
0,2,0,1,2,4,0,0,0,4,1,24,0,459,385,28,413,43,384,10052,0,10,81
0,2,0,1,2,13,9,0,1,23,1,24,8,391,270,804,1074,43,6,10053,0,10,81
0,2,9,1,0,19,0,0,0,19,1,20,0,294,102,51,154,43,18,10035,0,10,81
0,2,0,1,0,60,7,0,0,67,2,23,0,13224,7272,1954,9227,43,94,10036,0,10,81
0,2,9,1,0,15,2,0,0,17,1,20,0,3328,80,8895,8975,43,6,10065,0,10,81
0,2,9,1,0,6,1,0,0,7,1,20,0,1590,252,120,372,43,229,10067,0,10,81
0,2,6,0,2,3,0,0,0,3,1,24,0,854,336,27,363,43,384,10066,0,10,81
0,2,9,0,0,2,0,0,0,2,1,20,0,34,34,0,34,43,384,10044,0,10,81
0,2,0,1,3,230,32,22,4,288,2,23,16,15446,17657,5179,22836,43,381,10030,0,10,81
0,2,0,1,0,1,0,0,0,1,1,24,16,783,280,718,999,43,384,10054,0,10,81
0,2,9,1,0,28,6,0,0,34,1,20,0,6395,3430,6370,9800,43,6,10046,0,10,81
0,2,9,1,0,18,2,0,0,20,1,20,0,30450,180,4594,4775,43,190,10034,0,10,81
0,2,9,1,0,42,3,0,0,45,1,20,0,23624,3353,8812,12165,43,13,10037,0,10,81
0,2,9,1,0,3,0,0,0,3,1,24,16,115,115,115,230,43,384,10039,0,10,81
0,2,9,1,0,5,0,0,0,5,1,20,0,477,99,5,104,43,384,10069,0,10,81
0,2,9,1,2,5,0,0,0,5,1,24,8,145,145,102,248,43,384,10064,0,10,81
0,2,0,0,0,17,2,0,0,19,1,20,0,423,246,164,410,43,384,10049,0,10,81
0,2,0,1,2,0,7,0,0,7,1,24,0,481,329,329,659,43,410,10032,0,10,81
0,2,0,1,2,5,0,0,0,5,1,24,25,295,171,171,342,43,7,10047,0,10,81
0,2,9,1,0,5,0,0,0,5,1,20,0,7030,50,1831,1881,43,39,10038,0,10,81
0,2,9,1,0,3,0,0,0,3,1,20,0,49,49,0,49,43,384,10063,0,10,81
0,2,9,1,0,6,1,0,0,7,1,20,0,2063,344,2497,2842,43,6,10045,0,10,81
0,2,9,1,0,78,20,0,0,98,2,20,0,19396,668,6628,7296,43,39,10070,0,10,81
0,2,6,0,0,8,2,1,0,11,1,38,16,431,310,121,431,43,398,10041,0,10,81
0,2,9,1,0,3,0,0,0,3,1,20,0,138,118,40,158,43,384,10063,0,10,81
0,2,9,0,0,7,2,0,0,9,1,36,16,1152,1152,0,1152,43,356,10043,0,10,81
0,2,0,1,2,2,1,0,0,3,1,24,0,393,156,337,494,43,5,10051,0,10,81
0,2,6,0,2,2,1,0,0,3,1,24,25,67,67,0,67,43,384,10048,0,10,81
0,2,9,1,0,3,0,0,0,3,1,20,0,429,118,58,176,43,384,10057,0,10,81
0,5,9,1,0,4,0,0,0,4,1,20,0,226,199,0,199,43,384,10050,0,10,81
0,2,9,1,0,2,0,0,0,2,1,20,0,679,221,0,221,43,384,10068,0,10,81
0,2,0,1,0,3,1,0,0,4,1,23,16,812,215,117,332,43,384,10059,0,10,81
