공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,2,9,1,0,32,3,0,0,35,1,32,6,95,210,155,366,0,119,438,2,2,27
0,2,6,0,2,3,1,0,0,4,1,36,6,59,42,16,59,0,45,40,1,2,27
0,2,9,1,2,18,1,0,0,19,1,37,6,118,72,141,213,0,117,437,2,2,27
0,2,9,1,3,8,1,0,0,9,1,37,6,665,100,82,182,0,47,422,2,2,24
0,2,0,0,0,2,1,0,0,3,1,32,6,304,219,0,219,0,45,423,2,2,24
0,2,6,0,0,2,2,0,0,4,1,35,6,99,66,43,109,0,45,425,2,2,24
0,2,6,0,0,1,2,0,0,3,1,34,6,296,60,125,185,0,45,426,2,2,24
0,2,6,0,2,0,3,0,0,3,1,34,6,0,99,56,155,0,45,427,2,2,24
0,2,0,0,0,16,10,0,0,26,1,32,6,0,175,186,361,0,58,424,2,2,24
0,2,0,1,2,2,3,0,0,5,1,32,6,0,166,0,166,0,114,415,2,2,23
0,2,6,0,0,17,5,0,0,22,1,32,6,102,40,62,102,0,127,414,2,2,23
0,2,0,1,2,7,1,0,0,8,1,30,6,2057,145,0,145,0,99,421,2,2,23
0,2,9,1,0,10,1,0,0,11,1,36,6,218,44,203,248,0,117,419,2,2,23
0,2,6,0,0,11,8,0,0,19,1,37,6,0,65,267,333,0,125,417,2,2,23
0,2,2,0,2,3,1,0,0,4,1,30,6,69,52,16,69,0,124,418,2,2,23
0,2,0,0,2,1,5,0,0,6,1,37,6,0,164,116,281,0,10,416,2,2,23
0,2,0,0,0,4,1,0,0,5,1,37,6,0,50,84,134,0,123,420,2,2,23
0,2,9,1,0,5,2,0,0,7,1,32,6,581,79,396,475,0,56,309,2,2,11
0,2,0,1,2,29,4,0,0,33,1,32,6,0,81,75,156,0,125,306,2,2,11
0,2,9,1,2,3,3,0,0,6,1,32,6,165,286,0,286,0,59,308,2,2,11
0,2,6,0,2,3,1,0,0,4,1,37,6,0,124,0,124,0,114,305,2,2,11
0,2,0,1,2,4,2,0,0,6,1,32,6,203,121,81,203,0,124,307,2,2,11
0,2,9,1,0,11,1,0,0,12,1,15,14,2089,2056,2137,4194,0,149,224,2,2,0
0,2,7,0,2,3,0,0,0,3,1,42,6,0,88,22,111,0,127,226,2,2,0
0,2,9,1,3,6,1,0,0,7,1,41,6,1180,1300,334,1635,0,37,229,2,2,0
0,2,9,1,0,10,6,0,0,16,1,18,6,1911,2266,2313,4580,0,37,225,2,2,0
0,2,6,0,2,1,0,0,0,1,1,42,6,0,111,111,222,0,31,227,2,2,0
0,2,9,0,0,7,0,0,0,7,1,38,6,18,18,0,18,0,127,228,2,2,0
0,2,0,1,0,5,0,0,0,5,1,18,0,660,380,105,485,0,158,604,2,2,35
0,2,6,0,0,3,1,0,0,4,1,18,0,255,179,76,255,0,159,624,2,2,35
0,2,0,1,3,15,5,0,0,20,1,20,0,2607,1255,749,2005,0,78,621,2,2,35
0,2,4,1,0,8,2,0,0,10,1,17,0,3054,994,983,1978,0,146,618,2,2,35
0,2,6,0,2,3,0,0,0,3,1,18,0,0,258,32,290,0,117,614,2,2,35
0,2,2,0,2,3,0,0,0,3,1,18,0,0,110,36,146,0,127,60,1,2,35
0,2,0,0,2,3,0,0,0,3,1,18,0,382,382,0,382,0,100,623,2,2,35
0,2,0,1,0,8,1,0,0,9,1,18,0,4050,432,119,551,0,87,609,2,2,35
0,2,0,0,2,1,0,0,0,1,1,18,0,330,131,58,189,0,129,628,2,2,35
0,2,9,1,3,2,0,0,0,2,1,25,6,661,255,181,436,0,151,634,2,2,35
0,2,2,0,2,0,0,1,0,1,1,18,0,0,280,260,541,0,101,607,2,2,35
0,2,6,0,0,7,1,0,0,8,1,18,0,0,262,0,262,0,99,599,2,2,35
0,2,0,0,0,5,0,0,0,5,1,17,0,0,406,32,438,0,127,615,2,2,35
0,2,6,0,2,9,0,0,0,9,1,18,0,0,421,0,421,0,127,607,2,2,35
0,2,0,1,0,9,2,0,0,11,1,18,0,3101,578,64,642,0,87,626,2,2,35
0,2,9,1,2,10,19,0,0,29,1,18,0,1976,396,453,849,0,27,590,2,2,35
0,4,9,1,0,8,2,0,0,10,1,27,15,4487,635,242,877,0,144,633,2,2,35
0,2,1,1,0,9,2,0,0,11,1,18,0,3041,312,1414,1726,0,30,619,2,2,35
0,2,9,1,0,6,3,4,0,13,1,18,0,1231,656,7,663,0,80,627,2,2,35
0,2,9,1,0,5,2,0,0,7,1,18,15,642,229,28,258,0,56,625,2,2,35
0,2,9,1,2,7,0,0,0,7,1,18,0,1185,470,7,477,0,97,591,2,2,35
0,2,9,1,3,7,0,0,0,7,1,18,0,1184,787,80,868,0,97,58,1,2,35
