공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,4,9,2,2,2,4,0,0,6,1,73,9,0,238,0,238,4,87,5099,0,11,137
0,4,4,2,0,3,4,0,0,7,1,73,9,179,101,0,101,4,400,5100,0,11,137
0,4,6,1,0,1,2,0,0,3,1,73,9,76,76,0,76,4,76,5104,0,11,137
0,4,9,2,2,4,2,0,0,6,1,77,9,426,239,0,239,4,129,5101,0,11,137
0,4,6,1,0,1,0,0,0,1,1,76,9,0,33,0,33,4,126,5102,0,11,137
0,4,2,1,0,5,6,0,0,11,1,73,9,0,122,0,122,4,400,5105,0,11,137
0,4,0,2,0,3,1,0,0,4,1,73,9,0,63,0,63,4,126,5103,0,11,137
0,4,0,2,2,3,0,0,0,3,1,72,9,0,276,36,312,4,124,5232,0,11,137
0,4,8,1,2,1,0,0,0,1,1,85,9,170,20,0,20,4,251,5233,0,11,137
0,4,2,1,2,2,3,0,0,5,1,73,9,0,193,0,193,4,10,5173,0,11,137
0,4,3,2,2,2,1,0,0,3,1,73,9,0,78,0,78,4,106,5109,0,11,137
0,4,0,2,2,7,2,0,0,9,1,73,9,0,82,0,82,4,235,5110,0,11,137
0,4,2,1,0,8,9,0,0,17,1,73,9,0,175,0,175,4,125,5111,0,11,137
0,4,7,1,2,4,1,0,0,5,1,80,9,0,158,66,224,4,294,5113,0,11,137
0,4,0,2,2,1,3,0,0,4,1,73,9,0,31,56,88,4,400,5112,0,11,137
0,4,2,1,2,2,0,0,0,2,1,73,9,0,28,0,28,4,250,5106,0,11,137
0,4,0,2,3,3,3,0,0,6,1,85,9,245,374,109,484,4,24,5202,0,11,137
0,4,3,2,2,2,2,0,0,4,1,85,9,309,270,38,309,4,335,5206,0,11,137
0,4,8,1,2,1,1,0,0,2,1,90,9,229,50,0,50,4,400,5201,0,11,137
0,4,0,2,2,2,1,0,0,3,1,85,9,327,167,0,167,4,335,5203,0,11,137
0,4,0,2,2,10,3,0,0,13,1,85,9,1146,73,1045,1118,4,260,5205,0,11,137
0,4,0,2,2,2,2,0,0,4,1,85,9,215,66,149,215,4,124,5204,0,11,137
0,4,6,1,2,1,1,0,0,2,1,83,9,0,20,0,20,4,124,5175,0,11,137
0,4,6,1,2,4,11,0,0,15,1,85,9,339,302,36,339,4,78,5174,0,11,137
0,4,2,1,0,0,4,0,0,4,1,85,9,0,70,0,70,4,78,5107,0,11,137
0,4,0,2,0,4,30,0,0,34,1,85,0,299,290,9,299,4,78,5108,0,11,137
0,4,5,2,2,1,8,0,0,9,1,80,9,757,130,0,130,4,81,5153,0,11,137
0,4,0,2,2,1,0,0,0,1,1,85,9,121,31,2,33,4,25,5154,0,11,137
0,4,6,1,2,1,1,0,0,2,1,80,9,0,59,0,59,4,61,5151,0,11,137
0,4,4,2,2,0,6,0,0,6,1,80,9,287,215,0,215,4,78,5152,0,11,137
0,4,0,1,2,3,1,0,0,4,1,80,9,141,81,60,141,4,304,5192,0,11,137
0,4,9,2,2,4,1,0,0,5,1,80,9,213,126,0,126,4,279,5483,0,13,178
0,4,4,2,0,7,2,0,0,9,1,84,9,0,75,19,94,4,279,5187,0,11,137
0,4,2,1,0,1,0,0,0,1,1,77,0,0,90,6,96,4,400,5199,0,11,137
0,4,8,1,0,1,2,0,0,3,1,85,9,168,100,68,168,4,400,5182,0,11,137
0,4,6,1,2,6,4,0,0,10,1,80,9,160,59,101,160,4,273,5200,0,11,137
0,4,1,2,2,4,4,2,0,10,1,85,0,488,244,244,488,4,2,5197,0,11,137
0,4,6,1,2,7,2,0,0,9,1,80,9,0,365,146,511,4,4,5198,0,11,137
0,4,0,1,0,3,0,0,0,3,1,85,9,90,50,40,90,4,279,5482,0,13,178
0,4,2,1,2,2,1,0,0,3,1,85,0,0,84,99,184,4,335,5195,0,11,137
0,4,6,1,2,11,24,0,0,35,1,80,0,488,244,244,488,4,2,5197,0,11,137
0,4,2,1,2,1,1,0,0,2,1,85,9,200,163,36,200,4,10,5191,0,11,137
0,4,3,2,2,0,1,0,0,1,1,83,9,0,44,0,44,4,126,5183,0,11,137
0,4,9,2,2,1,4,0,0,5,1,76,9,0,208,0,208,4,124,5480,0,13,178
0,4,0,2,0,2,1,0,0,3,1,85,9,563,175,0,175,4,234,5189,0,11,137
0,4,9,2,0,2,1,0,0,3,1,85,9,148,148,0,148,4,61,5485,0,13,178
0,4,6,1,2,1,1,0,0,2,1,82,9,245,0,0,0,4,403,5193,0,11,137
0,4,6,1,0,7,1,0,0,8,1,85,9,0,58,71,130,4,311,5479,0,13,178
0,4,0,1,2,14,1,0,0,15,1,87,9,251,52,0,52,4,304,5185,0,11,137
0,4,2,1,0,0,1,0,0,1,1,85,0,0,34,6,40,4,400,5199,0,11,137
0,4,6,1,2,1,0,0,0,1,1,80,9,212,44,0,44,4,400,5484,0,13,178
0,4,0,1,0,6,2,0,0,8,1,80,9,51,43,8,51,4,279,5190,0,11,137
0,4,2,1,2,10,6,0,0,16,1,80,9,238,75,62,138,4,309,5188,0,11,137
0,8,0,2,3,2,1,0,0,3,1,80,9,662,360,111,471,4,298,5184,0,11,137
0,4,2,1,2,1,2,0,0,3,1,80,9,204,121,0,121,4,4,5186,0,11,137
0,4,3,2,2,3,0,0,0,3,1,80,9,498,238,0,238,4,335,5196,0,11,137
0,4,9,2,0,3,1,0,0,4,1,85,9,449,397,51,449,4,61,5481,0,13,178
0,4,9,2,0,2,6,0,0,8,1,93,9,335,424,533,957,4,78,5194,0,11,137
0,4,6,1,2,2,1,0,0,3,1,85,9,119,33,86,119,4,279,5162,0,11,137
0,4,6,1,2,15,1,0,0,16,1,73,9,0,30,184,214,4,275,5158,0,11,137
0,4,0,2,2,4,1,0,0,5,1,80,9,99,99,0,99,4,312,5160,0,11,137
0,4,6,1,2,2,2,0,0,4,1,85,9,175,130,45,175,4,311,5156,0,11,137
0,4,2,1,2,2,0,0,0,2,1,80,9,188,55,0,55,4,291,5161,0,11,137
0,4,2,1,2,1,2,0,0,3,1,80,9,0,60,60,120,4,51,5155,0,11,137
0,4,0,2,0,11,1,0,0,12,1,73,22,353,275,77,353,4,311,5157,0,11,137
0,4,2,1,2,2,5,0,0,7,1,85,9,490,149,0,149,4,78,5159,0,11,137
0,8,7,1,3,3,0,0,0,3,1,60,4,2536,329,164,494,4,337,5166,0,11,137
0,8,0,2,0,3,0,0,0,3,1,18,4,1519,287,0,287,4,236,5165,0,11,137
0,8,0,2,3,3,0,0,0,3,1,60,4,990,171,0,171,4,234,5163,0,11,137
