공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,3,0,2,3,2,0,0,0,2,1,89,19,195,195,0,195,7,322,2022,1,7,102
0,3,2,1,3,3,0,0,0,3,1,89,19,237,47,0,47,7,69,2021,1,7,102
0,3,5,2,4,7,1,0,0,8,1,71,19,1661,325,131,457,7,167,2031,1,7,102
0,3,2,1,3,5,1,0,0,6,1,98,0,333,176,5,181,7,232,2030,1,7,102
0,3,3,2,4,1,0,0,0,1,1,89,19,618,331,0,331,7,179,2026,1,7,102
0,3,0,1,3,4,1,0,0,5,1,71,19,991,145,129,275,7,228,2036,1,7,102
0,3,3,2,1,3,0,0,0,3,1,98,19,152,152,0,152,7,228,2032,1,7,102
0,3,3,2,4,5,7,1,1,14,1,98,19,1003,498,399,897,7,5,2025,1,7,102
0,3,0,2,4,0,0,0,0,0,1,57,19,1017,310,0,310,7,158,2018,1,7,102
0,3,6,1,4,5,0,0,0,5,1,98,19,311,190,120,311,7,389,2019,1,7,102
0,3,5,2,1,6,1,0,0,7,1,98,19,654,336,21,358,7,228,2029,1,7,102
0,3,2,1,3,10,0,0,0,10,1,111,19,99,60,39,99,7,266,2020,1,7,102
0,3,3,2,1,4,1,0,0,5,1,111,19,246,35,0,35,7,365,2042,1,7,102
0,3,0,1,4,2,3,0,0,5,1,57,19,1210,187,162,349,7,69,2043,1,7,102
0,3,9,2,1,14,1,0,0,15,1,57,0,3051,1828,0,1828,7,50,2035,1,7,102
0,3,9,2,1,4,0,0,0,4,1,57,0,2752,78,0,78,7,191,2017,1,7,102
0,3,0,2,3,3,3,0,0,6,1,89,19,165,43,54,98,7,22,2039,1,7,102
0,3,6,1,1,4,1,0,0,5,1,98,19,83,83,0,83,7,228,2040,1,7,102
0,3,9,2,1,3,2,0,0,5,1,110,19,280,158,0,158,7,247,2023,1,7,102
0,3,9,2,1,49,12,0,0,61,2,71,19,8059,1799,1566,3365,7,362,2034,1,7,102
0,3,9,2,3,3,1,0,0,4,1,98,19,623,353,0,353,7,342,2028,1,7,102
0,3,2,1,3,4,1,0,0,5,1,111,19,246,134,0,134,7,365,2042,1,7,102
0,3,5,2,4,2,1,0,0,3,1,89,19,712,454,0,454,7,230,2027,1,7,102
0,3,9,1,4,3,4,0,0,7,1,57,19,3305,665,160,826,7,363,2033,1,7,102
0,3,9,1,3,1,2,0,0,3,1,110,19,591,98,204,303,7,10,2024,1,7,102
0,3,9,2,1,1,1,0,0,2,1,110,19,450,339,0,339,7,25,2038,1,7,102
0,3,9,2,3,9,0,0,0,9,1,89,19,221,130,0,130,7,10,2037,1,7,102
0,3,9,2,1,0,20,0,0,20,1,110,19,855,610,43,654,7,10,2041,1,7,102
0,3,3,2,1,0,2,0,0,2,1,89,19,21,21,0,21,7,39,2039,1,7,102
1,1,9,2,1,3,1,0,0,4,1,57,0,3094,1157,0,1157,7,168,2108,1,7,140
0,6,5,2,4,8,4,0,0,12,1,46,38,3074,1139,105,1245,7,134,2201,1,7,140
0,6,0,2,1,2,0,0,0,2,1,46,0,6744,4390,330,4720,7,232,2193,1,7,140
0,3,6,1,3,6,1,0,0,7,1,46,19,0,132,165,297,7,317,2196,1,7,140
0,3,0,2,4,0,0,0,0,0,1,57,0,3306,1624,0,1624,7,228,2151,1,7,140
0,3,2,1,4,1,1,0,0,2,1,57,0,246,123,123,246,7,389,2082,1,7,140
0,3,0,2,3,7,2,0,0,9,1,46,0,1279,319,145,464,7,114,2202,1,7,140
0,3,9,2,4,3,1,0,0,4,1,57,19,2219,373,374,748,7,50,2205,1,7,140
0,3,9,2,1,3,2,0,0,5,1,45,0,360,156,0,156,7,114,2118,1,7,140
0,3,0,2,3,0,0,0,0,0,1,57,0,49,49,0,49,7,387,2116,1,7,140
0,3,9,2,2,0,0,8,0,8,1,45,0,4288,2311,515,2826,7,116,2122,1,7,140
0,3,9,2,1,5,25,0,0,30,1,71,19,16512,1813,0,1813,7,10,2195,1,7,140
0,3,9,1,3,3,0,0,0,3,1,71,19,360,34,0,34,7,11,2192,1,7,140
0,3,3,2,1,6,2,0,0,8,1,46,0,1996,963,0,963,7,307,2203,1,7,140
0,3,0,2,4,0,0,0,0,0,1,46,0,1208,452,0,452,7,108,2194,1,7,140
0,3,2,1,4,3,0,3,0,6,1,46,0,803,803,0,803,7,229,2203,1,7,140
0,3,3,2,4,3,1,0,0,4,1,57,19,14775,2069,7667,9736,7,52,2206,1,7,140
0,3,0,1,1,2,8,0,0,10,1,45,0,896,846,50,896,7,5,2146,1,7,140
0,3,0,1,3,2,1,0,0,3,1,57,36,0,86,30,117,7,168,2081,1,7,140
0,3,3,2,4,7,0,0,0,7,1,46,0,490,267,48,316,7,365,2200,1,7,140
0,3,3,2,3,2,1,0,0,3,1,46,0,1884,408,309,718,7,7,2204,1,7,140
1,1,2,1,4,5,0,0,0,5,1,57,0,297,297,0,297,7,322,2150,1,7,140
1,1,2,1,1,4,2,0,0,6,1,46,0,132,132,0,132,7,389,2156,1,7,140
1,1,4,2,3,10,5,0,0,15,1,46,0,2926,3705,384,4089,7,112,2111,1,7,140
1,4,0,2,4,7,7,0,0,14,1,46,0,5641,1686,169,1855,7,362,2164,1,7,140
1,1,9,2,1,0,0,0,0,0,1,57,0,140657,1995,575,2570,7,10,2117,1,7,140
1,1,9,2,4,5,11,0,0,16,1,57,0,3969,1110,1505,2615,7,169,2130,1,7,140
1,1,2,1,4,7,3,0,0,10,1,57,0,1335,360,0,360,7,381,2147,1,7,140
