공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,1,0,0,2,2,3,0,0,5,1,25,9,127,127,0,127,0,154,608,0,10,8
0,1,6,0,2,3,0,0,0,3,1,25,9,0,62,40,102,0,169,607,0,10,8
0,1,0,0,2,8,0,0,0,8,1,25,9,0,40,91,132,0,154,606,0,10,8
0,1,6,0,2,4,2,0,0,6,1,25,9,0,200,0,200,0,152,610,0,10,8
0,1,8,1,3,2,0,0,0,2,1,25,9,282,150,6,157,0,24,604,0,10,8
0,1,8,1,3,3,0,0,0,3,1,23,9,750,270,0,270,0,29,605,0,10,8
0,1,8,1,3,16,4,0,0,20,1,26,0,3970,855,641,1496,0,52,611,0,10,8
0,1,6,0,2,1,2,0,0,3,1,25,9,469,185,73,258,0,14,609,0,10,8
0,1,0,0,0,3,3,0,0,6,1,25,9,0,130,0,130,0,154,640,0,10,40
0,1,8,1,3,5,0,0,0,5,1,26,9,2314,388,279,668,0,25,641,0,10,40
0,1,8,1,2,1,2,0,0,3,1,26,9,463,171,52,224,0,24,643,0,10,40
0,1,6,0,0,4,0,0,0,4,1,22,9,0,48,144,192,0,154,642,0,10,40
0,1,3,1,3,4,1,0,0,5,1,15,9,4420,494,0,494,0,100,613,0,10,20
0,1,8,1,0,12,6,0,0,18,1,15,0,9574,6601,1394,7996,0,2,615,0,10,20
0,1,2,0,0,1,3,0,0,4,1,15,0,1500,619,28,648,0,75,623,0,10,20
0,1,2,0,3,2,0,0,0,2,1,15,0,0,484,10,494,0,195,613,0,10,20
0,1,0,0,2,2,1,0,0,3,1,15,0,0,396,80,476,0,80,613,0,10,20
0,1,0,0,2,5,3,1,0,9,1,15,0,0,483,459,943,0,80,613,0,10,20
0,1,0,0,3,4,18,2,1,25,1,15,10,6127,3003,1316,4320,0,5,612,0,10,20
0,1,8,1,0,56,124,16,100,296,2,15,0,20481,9430,6125,15556,0,4,624,0,10,20
0,1,0,0,0,1,0,0,0,1,1,15,0,0,176,0,176,0,70,618,0,10,20
0,1,0,1,0,27,23,6,0,56,2,15,0,14299,3331,2091,5422,0,95,622,0,10,20
0,1,2,0,0,4,3,0,0,7,1,15,0,0,218,0,218,0,45,644,1,3,20
0,1,2,0,0,3,2,0,0,5,1,15,0,1575,130,348,479,0,18,625,0,10,20
0,1,0,1,3,42,32,11,0,85,2,15,0,16702,5152,3122,8274,0,115,620,0,10,20
0,1,0,0,2,2,2,0,0,4,1,15,0,0,76,0,76,0,206,619,0,10,20
0,1,2,0,0,3,0,0,0,3,1,20,15,257,164,93,257,0,4,617,0,10,20
0,1,8,1,0,4,0,1,0,5,1,15,0,1151,360,110,470,0,137,626,0,10,20
0,1,0,0,3,15,5,0,0,20,1,15,0,0,541,115,657,0,169,614,0,10,20
0,1,0,0,0,6,1,0,0,7,1,25,9,0,115,0,115,0,179,628,0,10,20
0,1,2,0,0,0,0,0,0,0,1,15,0,805,176,0,176,0,75,618,0,10,20
0,1,2,0,3,5,1,0,0,6,1,15,0,0,657,0,657,0,100,613,0,10,20
0,1,2,0,3,7,0,0,0,7,1,15,0,0,355,53,409,0,141,613,0,10,20
0,1,8,1,0,173,13,0,0,186,2,15,0,95976,42190,28988,71179,0,57,629,0,10,20
0,1,2,0,0,13,0,0,0,13,1,15,0,0,1144,336,1480,0,57,629,0,10,20
0,1,0,0,2,2,1,0,0,3,1,22,10,312,280,32,312,0,208,627,0,10,20
0,1,2,0,0,9,8,0,0,17,1,15,0,2334,329,780,1110,0,206,619,0,10,20
0,1,0,1,0,18,0,0,0,18,1,15,0,2919,740,497,1238,0,206,616,0,10,20
