공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,공장주소_지번,도,시,구
0,2,6,1,1,1,1,0,0,2,1,32,13,297,142,33,175,1,2,2533,0,4,23
0,2,6,1,3,5,1,0,0,6,1,32,13,428,132,125,257,1,106,2530,0,4,23
0,2,0,2,3,9,2,0,0,11,1,31,13,697,267,224,492,1,233,2535,0,4,23
0,2,6,1,3,2,0,0,0,2,1,31,13,114,110,4,114,1,195,2529,0,4,23
0,2,0,2,3,5,27,0,13,45,1,31,13,881,816,671,1488,1,292,2524,0,4,23
0,2,9,2,3,2,5,0,0,7,1,33,13,1079,220,175,395,1,23,2532,0,4,23
0,2,0,1,3,2,0,0,0,2,1,31,13,65,35,30,65,1,78,2523,0,4,23
0,2,0,2,1,7,1,0,0,8,1,32,13,417,244,201,445,1,227,2520,0,4,23
0,2,9,2,1,3,3,0,0,6,1,39,13,632,210,237,448,1,215,2536,0,4,23
0,2,9,2,3,8,1,0,0,9,1,31,13,165,165,200,365,1,227,2534,0,4,23
0,2,0,2,3,16,2,0,0,18,1,32,13,779,416,578,994,1,208,2521,0,4,23
0,2,2,1,1,9,1,0,0,10,1,33,13,616,120,60,180,1,227,2522,0,4,23
0,2,0,1,3,11,4,0,0,15,1,33,13,1078,392,100,492,1,79,2526,0,4,23
0,2,3,2,3,8,1,0,0,9,1,32,13,868,270,226,497,1,218,2528,0,4,23
0,2,6,1,3,1,0,0,0,1,1,31,13,169,26,21,47,1,78,2531,0,4,23
0,2,9,2,3,5,11,0,0,16,1,39,13,1076,392,100,492,1,37,2527,0,4,23
0,2,0,2,3,8,37,0,0,45,1,32,13,1107,498,993,1492,1,292,2525,0,4,23
0,2,0,1,3,3,0,0,0,3,1,20,13,129,78,51,129,1,246,2514,0,4,1
0,2,2,1,3,4,2,0,0,6,1,21,15,63,38,25,63,1,92,2489,0,4,1
0,2,8,1,3,1,1,0,0,2,1,20,13,104,63,41,104,1,230,2493,0,4,1
0,2,0,1,3,2,0,0,0,2,1,20,13,143,32,111,143,1,227,2498,0,4,1
0,2,6,1,3,4,0,0,0,4,1,20,13,142,79,63,142,1,88,2510,0,4,1
0,2,0,1,1,3,1,0,0,4,1,20,13,120,58,61,120,1,268,2497,0,4,1
0,2,2,1,1,4,3,0,0,7,1,21,15,143,42,100,143,1,281,2495,0,4,1
0,2,6,1,3,2,1,0,0,3,1,21,15,112,62,49,112,1,115,2501,0,4,1
0,2,8,1,3,1,1,0,0,2,1,20,13,142,50,92,142,1,106,2509,0,4,1
