iter	MultiClass
0	2.657335807
1	2.444873009
2	2.309288723
3	2.193172772
4	2.096828692
5	2.018204787
6	1.953179224
7	1.896722631
8	1.846585608
9	1.801244186
10	1.767516344
11	1.730769709
12	1.700852939
13	1.673895166
14	1.645125077
15	1.622255974
16	1.605278035
17	1.588222237
18	1.574489801
19	1.558604011
20	1.541593096
21	1.527605581
22	1.5129489
23	1.499824349
24	1.49187148
25	1.474681202
26	1.461742154
27	1.451866192
28	1.439120346
29	1.432150972
30	1.424958472
31	1.412990369
32	1.40742001
33	1.40176056
34	1.389924879
35	1.384242978
36	1.37816892
37	1.371737965
38	1.365265468
39	1.360664
40	1.353486267
41	1.347324231
42	1.340130307
43	1.334917653
44	1.330806349
45	1.326766224
46	1.325283799
47	1.321127278
48	1.313253511
49	1.307866105
50	1.299347286
51	1.294661885
52	1.289081359
53	1.285650093
54	1.281144154
55	1.277424919
56	1.275199248
57	1.26984085
58	1.263310066
59	1.258698559
60	1.257424634
61	1.252807864
62	1.249364404
63	1.246460783
64	1.243412452
65	1.240161822
66	1.236478172
67	1.23340891
68	1.231588109
69	1.230548754
70	1.227819627
71	1.222455665
72	1.21779482
73	1.214603331
74	1.213257421
75	1.208998919
76	1.207589682
77	1.204651606
78	1.203538165
79	1.200544638
80	1.198766457
81	1.194027883
82	1.190945566
83	1.188792718
84	1.18531417
85	1.183193886
86	1.180505532
87	1.177174752
88	1.176212
89	1.173640236
90	1.172377617
91	1.169928337
92	1.166759206
93	1.164212084
94	1.162497845
95	1.157362352
96	1.156103733
97	1.154093507
98	1.15246157
99	1.14993491
100	1.145933295
101	1.14446914
102	1.141511902
103	1.138932119
104	1.13598235
105	1.133878353
106	1.131842669
107	1.128416556
108	1.125597776
109	1.122951007
110	1.11896705
111	1.117178017
112	1.115388985
113	1.113267465
114	1.11111534
115	1.109162764
116	1.108347353
117	1.105704395
118	1.103790023
119	1.102560374
120	1.099268857
121	1.097423894
122	1.095588989
123	1.093718167
124	1.091369983
125	1.089657438
126	1.088108085
127	1.085371598
128	1.083074771
129	1.080784516
130	1.078911308
131	1.076550307
132	1.074361951
133	1.07122461
134	1.070150464
135	1.068851145
136	1.065950432
137	1.063512977
138	1.061308464
139	1.059554536
140	1.058678867
141	1.057218121
142	1.055394494
143	1.052361557
144	1.051189089
145	1.049913057
146	1.047829435
147	1.046744946
148	1.045477675
149	1.043859172
150	1.04197244
151	1.040097538
152	1.038696669
153	1.036423639
154	1.03318163
155	1.029440529
156	1.028332475
157	1.026268435
158	1.025200059
159	1.02395281
160	1.02182349
161	1.019830499
162	1.018043778
163	1.016527505
164	1.013693674
165	1.011727662
166	1.01056888
167	1.009249947
168	1.007525341
169	1.005626425
170	1.004226047
171	1.002545045
172	1.00092194
173	0.9980161681
174	0.996178165
175	0.9950178902
176	0.992219764
177	0.9912393255
178	0.9890491436
179	0.9869249802
180	0.985000895
181	0.9834112672
182	0.9815923797
183	0.9801665651
184	0.978284324
185	0.9765203861
186	0.9751676994
187	0.973963693
188	0.9731297225
