iter	Passed	Remaining
0	197	197353
1	261	130333
2	314	104583
3	378	94209
4	432	85984
5	490	81259
6	544	77212
7	599	74309
8	654	72059
9	706	69983
10	764	68701
11	815	67160
12	867	65897
13	922	64997
14	990	65018
15	1045	64291
16	1101	63690
17	1153	62937
18	1207	62327
19	1269	62204
20	1324	61767
21	1384	61529
22	1435	60961
23	1496	60847
24	1550	60460
25	1612	60389
26	1676	60422
27	1736	60272
28	1797	60191
29	1856	60021
30	1916	59909
31	1982	59976
32	2050	60080
33	2113	60042
34	2185	60251
35	2242	60060
36	2308	60085
37	2366	59897
38	2425	59771
39	2480	59536
40	2533	59256
41	2589	59058
42	2657	59149
43	2720	59109
44	2785	59117
45	2846	59031
46	2906	58938
47	2973	58979
48	3036	58924
49	3095	58823
50	3162	58844
51	3221	58724
52	3282	58644
53	3341	58538
54	3392	58297
55	3448	58126
56	3498	57870
57	3552	57696
58	3604	57488
59	3655	57264
60	3706	57054
61	3756	56833
62	3811	56681
63	3865	56526
64	3920	56397
65	3971	56202
66	4026	56068
67	4076	55868
68	4124	55644
69	4147	55096
70	4197	54924
71	4251	54795
72	4303	54649
73	4365	54622
74	4414	54439
75	4466	54298
76	4516	54133
77	4569	54009
78	4617	53834
79	4672	53735
80	4725	53609
81	4783	53550
82	4836	53429
83	4887	53294
84	4940	53185
85	4990	53040
86	5042	52920
87	5094	52792
88	5142	52637
89	5193	52508
90	5250	52442
91	5300	52312
92	5357	52245
93	5407	52119
94	5459	52006
95	5510	51892
96	5568	51840
97	5621	51743
98	5678	51682
99	5730	51576
100	5784	51485
101	5839	51411
102	5891	51304
103	5947	51240
104	6003	51170
105	6059	51107
106	6108	50981
107	6184	51076
108	6236	50978
109	6287	50869
110	6339	50771
111	6395	50709
112	6447	50611
113	6499	50517
114	6548	50393
115	6597	50278
116	6653	50212
117	6705	50119
118	6756	50023
119	6807	49918
120	6859	49834
121	6907	49708
122	6956	49601
123	7007	49504
124	7062	49436
125	7112	49332
126	7160	49222
127	7215	49158
128	7264	49051
129	7320	48988
130	7367	48874
131	7421	48802
132	7469	48692
133	7523	48624
134	7576	48543
135	7625	48442
136	7679	48376
137	7728	48276
138	7783	48211
139	7834	48129
140	7890	48067
141	7935	47949
142	7994	47911
143	8048	47846
144	8099	47757
145	8150	47676
146	8202	47598
147	8257	47538
148	8308	47451
149	8362	47388
150	8415	47314
151	8472	47267
152	8520	47170
153	8576	47113
154	8626	47027
155	8682	46976
156	8732	46888
157	8807	46935
158	8862	46875
159	8914	46802
160	8968	46737
161	9017	46648
162	9072	46589
163	9124	46510
164	9180	46457
165	9230	46374
166	9286	46323
167	9338	46249
168	9391	46179
169	9440	46092
170	9497	46045
171	9546	45958
172	9602	45903
173	9653	45827
174	9705	45756
175	9759	45690
176	9811	45621
177	9864	45552
178	9917	45486
179	9972	45429
180	10024	45359
181	10084	45323
182	10139	45266
183	10198	45226
184	10251	45160
185	10304	45094
186	10357	45029
187	10408	44954
188	10464	44901
189	10512	44818
190	10564	44748
191	10614	44671
192	10670	44617
193	10720	44540
194	10771	44468
195	10822	44393
196	10876	44335
197	10929	44268
198	10983	44208
199	11034	44138
200	11087	44074
201	11140	44010
202	11195	43955
203	11247	43886
204	11299	43819
205	11356	43772
206	11404	43691
207	11461	43642
208	11511	43568
209	11563	43502
210	11615	43432
211	11672	43386
212	11720	43306
213	11774	43246
214	11830	43195
215	11879	43119
216	11934	43064
217	11982	42981
218	12034	42919
219	12083	42841
220	12132	42764
221	12185	42703
222	12235	42633
223	12290	42578
224	12340	42504
225	12393	42445
226	12441	42367
227	12493	42303
228	12540	42223
229	12595	42167
230	12645	42096
231	12697	42032
232	12748	41967
233	12802	41908
234	12850	41833
235	12902	41769
236	12953	41701
237	13006	41641
238	13056	41573
239	13112	41523
240	13160	41447
241	13211	41380
242	13262	41316
243	13316	41259
244	13365	41187
245	13416	41123
246	13468	41060
247	13518	40990
248	13567	40919
249	13614	40844
250	13662	40771
251	13712	40702
252	13763	40638
253	13813	40569
254	13866	40512
255	13916	40445
256	13970	40390
257	14020	40322
258	14069	40252
259	14125	40203
260	14174	40134
261	14229	40082
262	14280	40017
263	14334	39964
264	14387	39904
265	14438	39840
266	14488	39774
267	14541	39719
268	14592	39655
269	14650	39611
270	14700	39544
271	14754	39490
272	14805	39427
273	14854	39359
274	14904	39294
275	14955	39231
276	15005	39166
277	15056	39104
278	15119	39071
279	15168	39004
280	15222	38948
281	15270	38880
282	15324	38824
283	15374	38760
284	15424	38696
285	15473	38630
286	15529	38579
287	15581	38521
288	15634	38465
289	15684	38399
290	15741	38352
291	15791	38288
292	15849	38244
293	15900	38181
294	15952	38123
295	16004	38064
296	16054	37999
297	16108	37946
298	16157	37882
299	16212	37828
300	16261	37762
301	16314	37707
302	16368	37652
303	16419	37591
304	16477	37548
305	16531	37492
306	16579	37424
307	16631	37365
308	16682	37305
309	16737	37254
310	16788	37192
311	16841	37137
312	16889	37071
313	16950	37032
314	17011	36992
315	17076	36963
316	17139	36927
317	17194	36876
318	17250	36827
319	17305	36773
320	17359	36719
321	17416	36672
322	17483	36645
323	17540	36597
324	17607	36569
325	17658	36508
326	17714	36459
327	17765	36397
328	17816	36337
329	17864	36270
330	17919	36217
331	17967	36151
332	18019	36093
333	18070	36031
334	18119	35968
335	18174	35915
336	18221	35848
337	18276	35795
338	18332	35745
339	18381	35681
340	18436	35629
341	18486	35568
342	18538	35510
343	18589	35450
344	18642	35392
345	18692	35331
346	18746	35278
347	18795	35214
348	18851	35164
349	18899	35099
350	18949	35038
351	19018	35011
352	19068	34949
353	19117	34887
354	19167	34825
355	19219	34768
356	19269	34706
357	19322	34650
358	19373	34591
359	19425	34534
360	19475	34473
361	19525	34413
362	19575	34351
363	19629	34297
364	19701	34274
365	19768	34243
366	19850	34237
367	19927	34224
368	19992	34187
369	20054	34147
370	20116	34106
371	20171	34052
372	20231	34008
373	20300	33978
374	20348	33914
375	20398	33852
376	20452	33798
377	20505	33741
378	20558	33685
379	20615	33636
380	20673	33588
381	20729	33535
382	20780	33477
383	20840	33431
384	20893	33375
385	20941	33310
386	20977	33227
387	21012	33143
388	21051	33064
389	21087	32982
390	21120	32896
391	21162	32822
392	21198	32741
393	21236	32663
394	21272	32581
395	21308	32500
396	21341	32415
397	21374	32330
398	21407	32245
399	21441	32162
400	21478	32084
401	21516	32007
402	21551	31925
403	21586	31845
404	21621	31764
405	21657	31685
406	21697	31613
407	21730	31531
408	21769	31456
409	21802	31374
410	21836	31293
411	21870	31212
412	21906	31135
413	21938	31053
414	21975	30977
415	22011	30900
416	22045	30821
417	22081	30744
418	22114	30664
419	22152	30591
420	22188	30515
421	22222	30437
422	22255	30357
423	22291	30282
424	22326	30206
425	22362	30131
426	22398	30057
427	22434	29983
428	22471	29910
429	22506	29834
430	22542	29759
431	22576	29683
432	22613	29611
433	22652	29542
434	22701	29486
435	22741	29418
436	22781	29350
437	22831	29295
438	22881	29240
439	22928	29181
440	22968	29113
441	23015	29055
442	23053	28985
443	23098	28924
444	23133	28851
445	23169	28780
446	23204	28707
447	23240	28635
448	23274	28562
449	23308	28488
450	23348	28421
451	23384	28351
452	23420	28280
453	23455	28208
454	23490	28137
455	23524	28063
456	23558	27991
457	23592	27919
458	23628	27850
459	23668	27785
460	23706	27717
461	23738	27644
462	23773	27573
463	23810	27505
464	23844	27434
465	23883	27368
466	23917	27297
467	23952	27228
468	23986	27157
469	24022	27088
470	24057	27020
471	24095	26954
472	24132	26887
473	24168	26820
474	24208	26756
475	24245	26689
476	24281	26623
477	24315	26553
478	24351	26486
479	24385	26417
480	24421	26350
481	24459	26286
482	24493	26217
483	24527	26149
484	24560	26079
485	24597	26014
486	24630	25945
487	24669	25882
488	24704	25816
489	24741	25751
490	24775	25683
491	24808	25615
492	24842	25547
493	24877	25482
494	24910	25414
495	24948	25351
496	24983	25284
497	25019	25220
498	25054	25154
499	25090	25090
500	25126	25026
501	25163	24962
502	25197	24896
503	25229	24828
504	25264	24764
505	25301	24701
506	25335	24636
507	25369	24570
508	25407	24508
509	25444	24446
510	25478	24381
511	25513	24317
512	25546	24251
513	25583	24189
514	25617	24124
515	25653	24062
516	25687	23998
517	25724	23937
518	25758	23872
519	25794	23810
520	25828	23746
521	25863	23683
522	25897	23620
523	25933	23557
524	25968	23495
525	26006	23435
526	26042	23373
527	26077	23311
528	26112	23249
529	26148	23188
530	26184	23127
531	26222	23067
532	26256	23005
533	26293	22945
534	26326	22882
535	26363	22821
536	26396	22758
537	26434	22699
538	26469	22638
539	26503	22577
540	26538	22515
541	26571	22453
542	26608	22393
543	26643	22333
544	26681	22275
545	26717	22215
546	26754	22156
547	26786	22094
548	26930	22123
549	26973	22069
550	27133	22110
551	27172	22053
552	27208	21993
553	27250	21938
554	27320	21905
555	27358	21847
556	27398	21790
557	27432	21729
558	27467	21669
559	27501	21608
560	27536	21548
561	27569	21486
562	27602	21424
563	27635	21363
564	27669	21303
565	27703	21242
566	27736	21181
567	27770	21121
568	27805	21061
569	27840	21002
570	27874	20942
571	27910	20883
572	27948	20826
573	27981	20766
574	28015	20707
575	28050	20647
576	28083	20587
577	28119	20529
578	28153	20470
579	28186	20411
580	28221	20352
581	28255	20293
582	28289	20234
583	28326	20178
584	28372	20127
585	28409	20070
586	28442	20011
587	28476	19952
588	28510	19894
589	28554	19843
590	28592	19787
591	28628	19730
592	28662	19672
593	28696	19614
594	28730	19555
595	28766	19499
596	28800	19441
597	28833	19383
598	28868	19325
599	28902	19268
600	28939	19212
601	28974	19156
602	29009	19099
603	29042	19041
604	29077	18984
605	29111	18927
606	29145	18870
607	29183	18815
